BioImpReal,BioImpImaginary,PacketCounter,TimeStamp
211.31776428222656,-7.10931396484375,48,1690500613.9995806
210.24256896972656,-5.8897624015808105,49,1690500614.557514
210.40724182128906,-6.108030319213867,50,1690500615.1515675
210.70590209960938,-3.4630250930786133,51,1690500615.7570384
212.0455322265625,-1.9486336708068848,52,1690500616.357041
213.57803344726562,-0.3923113942146301,53,1690500616.9495585
214.794189453125,1.8164540529251099,54,1690500617.558603
216.7602996826172,2.4601306915283203,55,1690500618.1576304
218.01283264160156,5.816680431365967,56,1690500618.757623
219.6940460205078,9.626354217529297,57,1690500619.3576837
229.1127166748047,10.027348518371582,58,1690500619.9584024
240.65322875976562,12.80130672454834,59,1690500620.5583117
253.41673278808594,19.297061920166016,60,1690500621.1583412
266.9984436035156,31.268665313720703,61,1690500621.7581353
279.3015441894531,51.5311393737793,62,1690500622.357418
286.66741943359375,78.8875961303711,63,1690500622.958158
-285.96099853515625,-109.01217651367188,64,1690500623.5581846
-273.7441101074219,-142.2356414794922,65,1690500624.1577253
-255.37449645996094,-170.14036560058594,66,1690500624.7579992
-231.33798217773438,-182.56222534179688,67,1690500625.3578076
-213.65481567382812,-191.18148803710938,68,1690500625.9583774
-202.65089416503906,-191.79173278808594,69,1690500626.5576515
-196.5321502685547,-188.5974884033203,70,1690500627.1578345
-199.0902099609375,-201.713134765625,71,1690500627.7281287
-206.919677734375,-219.98129272460938,72,1690500628.3277254
-219.22158813476562,-239.3792266845703,73,1690500628.9275305
-235.22276306152344,-257.64385986328125,74,1690500629.5281994
-256.646728515625,-280.8414611816406,75,1690500630.1577454
-287.21380615234375,-307.26861572265625,76,1690500630.7273345
-318.11517333984375,-329.78900146484375,77,1690500631.3280025
-353.0234680175781,-351.6052551269531,78,1690500631.9279947
-390.67779541015625,-373.0030212402344,79,1690500632.5282643
-426.714111328125,-389.5030517578125,80,1690500633.1282573
-458.06103515625,-393.2174072265625,81,1690500633.7280107
-499.4781494140625,-406.9759216308594,82,1690500634.328178
-549.6878051757812,-420.9560852050781,83,1690500634.9287028
-591.7786865234375,-428.7538757324219,84,1690500635.5277016
-642.2271118164062,-430.7384948730469,85,1690500636.1275914
-692.7218627929688,-432.0595397949219,86,1690500636.7276733
-689.715087890625,-400.27978515625,87,1690500637.32749
-732.5387573242188,-387.7450256347656,88,1690500637.9273326
-763.9530029296875,-375.2500305175781,89,1690500638.5275087
-797.724853515625,-359.36273193359375,90,1690500639.128039
-833.1657104492188,-337.089111328125,91,1690500639.7277987
-864.2008666992188,-312.81982421875,92,1690500640.3278346
-878.6992797851562,-289.6349792480469,93,1690500640.9281564
-887.48681640625,-264.3778076171875,94,1690500641.527844
-903.887451171875,-230.18466186523438,95,1690500642.1273203
-909.6270141601562,-206.79527282714844,96,1690500642.7276978
-909.3848876953125,-177.5247802734375,97,1690500643.327716
-905.9851684570312,-148.48770141601562,98,1690500643.9276743
-907.4735717773438,-122.10736846923828,99,1690500644.527938
-297.8868408203125,37.97926712036133,0,1690500645.2174835
297.0071105957031,-24.202787399291992,1,1690500645.8179364
272.7010498046875,-30.371234893798828,2,1690500646.417269
267.4570007324219,-33.02592086791992,3,1690500646.987482
250.63369750976562,-31.878921508789062,4,1690500647.6184077
260.2427062988281,-33.50244140625,5,1690500648.1879745
242.6800994873047,-31.27419662475586,6,1690500648.787745
239.18507385253906,-31.00031280517578,7,1690500649.3882565
253.0803985595703,-32.89070129394531,8,1690500649.9574442
238.31765747070312,-29.88459587097168,9,1690500650.5579019
250.270751953125,-30.925554275512695,10,1690500651.1578934
230.23948669433594,-27.744861602783203,11,1690500651.7574463
239.5292205810547,-28.29628562927246,12,1690500652.3582249
249.1332550048828,-28.892362594604492,13,1690500652.957734
244.1374053955078,-27.465740203857422,14,1690500653.587333
228.6114044189453,-25.1669921875,15,1690500654.1574564
238.55072021484375,-25.732650756835938,16,1690500654.7582366
220.75096130371094,-23.213224411010742,17,1690500655.3578603
225.36785888671875,-23.231924057006836,18,1690500655.9574385
232.80160522460938,-23.609783172607422,19,1690500656.55789
240.5985107421875,-23.69599723815918,20,1690500657.157882
245.54049682617188,-24.108137130737305,21,1690500657.759228
219.7998504638672,-21.070646286010742,22,1690500658.3574326
222.01353454589844,-21.013423919677734,23,1690500658.9275985
226.9210662841797,-21.059818267822266,24,1690500659.5275915
231.85641479492188,-21.14900016784668,25,1690500660.127488
239.96218872070312,-21.35646629333496,26,1690500660.7274096
245.13229370117188,-21.278949737548828,27,1690500661.3277335
250.03909301757812,-22.585254669189453,28,1690500661.9277108
258.596435546875,-22.708267211914062,29,1690500662.5276668
216.03749084472656,-18.398508071899414,30,1690500663.1276884
218.3494415283203,-17.98415756225586,31,1690500663.7276514
220.72494506835938,-17.674640655517578,32,1690500664.3275173
225.78260803222656,-17.56363296508789,33,1690500664.9274995
228.1505584716797,-17.19153594970703,34,1690500665.527464
233.22459411621094,-17.017173767089844,35,1690500666.127757
238.36619567871094,-16.766328811645508,36,1690500666.727581
240.81443786621094,-16.475276947021484,37,1690500667.3275864
246.01011657714844,-16.208072662353516,38,1690500667.9270113
251.29013061523438,-15.988962173461914,39,1690500668.527254
253.42111206054688,-14.26920223236084,40,1690500669.127754
259.16119384765625,-15.20312786102295,41,1690500669.7270076
258.5412902832031,-14.385128021240234,42,1690500670.3277934
264.6802062988281,-15.388312339782715,43,1690500670.9275577
272.58343505859375,-13.629247665405273,44,1690500671.526978
278.066650390625,-13.028313636779785,45,1690500672.1276119
283.74554443359375,-12.266002655029297,46,1690500672.726926
213.19837951660156,-8.297951698303223,47,1690500673.3270442
212.40744018554688,-7.319011688232422,48,1690500673.9277084
211.4263153076172,-6.275383472442627,49,1690500674.5272899
211.61734008789062,-6.5096635818481445,50,1690500675.127254
211.97593688964844,-3.906608819961548,51,1690500675.6975982
213.320556640625,-2.4517741203308105,52,1690500676.2969794
214.72579956054688,-0.8844935297966003,53,1690500676.8971934
215.9406280517578,1.2328449487686157,54,1690500677.4974551
218.0538330078125,1.8566749095916748,55,1690500678.0978107
219.1537628173828,5.151349067687988,56,1690500678.697164
220.77560424804688,9.034912109375,57,1690500679.2975574
230.2103271484375,9.42354679107666,58,1690500679.8974092
241.60572814941406,12.135465621948242,59,1690500680.4978557
254.2744598388672,18.83766746520996,60,1690500681.0973468
267.8637390136719,30.818891525268555,61,1690500681.6975136
279.9505920410156,51.02621841430664,62,1690500682.2975733
287.4593811035156,78.4664077758789,63,1690500682.898145
-286.4544982910156,-108.68960571289062,64,1690500683.498073
-274.0543518066406,-142.20115661621094,65,1690500684.097843
-255.65789794921875,-169.94772338867188,66,1690500684.6978636
-231.47665405273438,-182.42027282714844,67,1690500685.2974825
-213.8365478515625,-191.16700744628906,68,1690500685.898123
-202.85902404785156,-191.6934814453125,69,1690500686.4975374
-196.998779296875,-188.51687622070312,70,1690500687.0978222
-199.55081176757812,-201.4871826171875,71,1690500687.6977513
-207.06863403320312,-219.79458618164062,72,1690500688.2970629
-220.1487579345703,-239.1027374267578,73,1690500688.896739
-235.9293975830078,-257.3398132324219,74,1690500689.4978523
-257.9337158203125,-280.2159118652344,75,1690500690.0976582
-288.2312927246094,-306.18011474609375,76,1690500690.697086
-319.65771484375,-328.5882568359375,77,1690500691.296881
-354.53887939453125,-350.1146240234375,78,1690500691.8974462
-392.2156066894531,-371.1068420410156,79,1690500692.497182
-427.9835510253906,-386.85552978515625,80,1690500693.097076
-458.8764953613281,-390.76904296875,81,1690500693.6965253
-500.76055908203125,-404.4962463378906,82,1690500694.2972188
-550.6107177734375,-417.8070068359375,83,1690500694.8965816
-592.2632446289062,-424.937744140625,84,1690500695.4977496
-642.3317260742188,-426.3255615234375,85,1690500696.0969052
-691.9354858398438,-428.1782531738281,86,1690500696.6969414
-688.5335083007812,-397.2231140136719,87,1690500697.2974892
-730.9285888671875,-384.4471435546875,88,1690500697.8966696
-761.86962890625,-372.29742431640625,89,1690500698.497618
-796.4425048828125,-355.2099609375,90,1690500699.0966632
-831.09228515625,-334.3581848144531,91,1690500699.6972446
-860.7179565429688,-309.3479309082031,92,1690500700.2974133
-875.819580078125,-285.78167724609375,93,1690500700.8971534
-885.3634033203125,-260.8332824707031,94,1690500701.496942
-900.6870727539062,-227.3431396484375,95,1690500702.097394
-906.3153076171875,-203.62010192871094,96,1690500702.6969497
-904.2014770507812,-175.03915405273438,97,1690500703.2973325
-900.4208374023438,-146.5191192626953,98,1690500703.8971126
-902.31982421875,-121.07034301757812,99,1690500704.4971838
-297.3698425292969,38.194393157958984,0,1690500705.1868443
295.63226318359375,-25.595911026000977,1,1690500705.7568743
272.0429382324219,-30.41095733642578,2,1690500706.35659
266.85687255859375,-33.05335998535156,3,1690500706.9268467
250.06930541992188,-31.858278274536133,4,1690500707.5872617
259.53973388671875,-33.46738815307617,5,1690500708.1570547
242.1201934814453,-31.227867126464844,6,1690500708.7267716
238.5791778564453,-30.936742782592773,7,1690500709.3269742
252.45750427246094,-32.82234191894531,8,1690500709.9265769
237.76895141601562,-29.826345443725586,9,1690500710.5270617
249.6707763671875,-30.87955093383789,10,1690500711.127072
229.6940155029297,-27.601343154907227,11,1690500711.7270377
239.04611206054688,-28.22895050048828,12,1690500712.296514
248.60780334472656,-28.811595916748047,13,1690500712.8969972
243.5974578857422,-27.39613914489746,14,1690500713.527258
228.02490234375,-25.087610244750977,15,1690500714.1268191
237.9662322998047,-25.601173400878906,16,1690500714.7265995
220.2060546875,-23.081777572631836,17,1690500715.326443
224.95083618164062,-23.1151123046875,18,1690500715.927098
232.2929229736328,-23.482839584350586,19,1690500716.5265598
239.983642578125,-23.600994110107422,20,1690500717.1263351
245.20655822753906,-24.01415252685547,21,1690500717.7263117
219.5175323486328,-20.954147338867188,22,1690500718.3270333
221.7726287841797,-20.91889190673828,23,1690500718.8972142
226.68484497070312,-20.98624610900879,24,1690500719.4966931
231.53736877441406,-21.05303955078125,25,1690500720.096402
239.59408569335938,-21.263551712036133,26,1690500720.6967967
