Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
-30,549,7783,11336,-31332,15813,795,0,09:55:37.723209
-20,569,7780,215,-586,295,805,10,09:55:37.763634
-25,573,7779,211,-589,301,815,10,09:55:37.793714
-10,568,7786,210,-591,298,825,10,09:55:37.833663
-8,564,7793,213,-591,301,835,10,09:55:37.873678
-4,572,7794,207,-595,295,845,10,09:55:37.913706
-8,556,7784,211,-586,302,855,10,09:55:37.954020
-7,567,7786,213,-587,294,865,10,09:55:37.993709
-27,566,7797,207,-593,301,875,10,09:55:38.033679
-5,568,7784,213,-590,298,885,10,09:55:38.073708
-4,578,7778,209,-588,299,895,10,09:55:38.123663
-2,579,7793,211,-590,296,905,10,09:55:38.154194
-13,565,7780,209,-590,293,915,10,09:55:38.203718
-20,584,7792,217,-594,297,925,10,09:55:38.233711
-19,557,7794,204,-591,299,935,10,09:55:38.273700
-15,560,7792,216,-589,295,945,10,09:55:38.313516
-11,573,7787,213,-588,290,955,10,09:55:38.354177
-21,579,7789,218,-589,294,965,10,09:55:38.393775
-27,569,7784,208,-587,297,975,10,09:55:38.433595
-24,571,7768,214,-592,300,985,10,09:55:38.473488
-17,569,7787,208,-589,295,995,10,09:55:38.513681
-17,561,7781,209,-591,297,1005,10,09:55:38.553576
-21,558,7781,206,-590,299,1015,10,09:55:38.593862
-19,579,7788,216,-587,298,1025,10,09:55:38.633994
-18,570,7784,210,-591,299,1035,10,09:55:38.673691
-18,567,7791,215,-593,300,1045,10,09:55:38.713686
-14,554,7789,208,-587,297,1055,10,09:55:38.753700
-17,569,7780,209,-584,296,1065,10,09:55:38.793689
-20,567,7778,212,-591,293,1075,10,09:55:38.833704
-18,564,7792,209,-590,294,1085,10,09:55:38.883791
-23,575,7784,207,-592,293,1095,10,09:55:38.913672
-27,558,7780,212,-588,297,1105,10,09:55:38.954198
-19,577,7789,213,-586,294,1115,10,09:55:38.993659
-20,569,7797,212,-589,299,1125,10,09:55:39.033665
-15,567,7796,207,-589,297,1135,10,09:55:39.073625
-15,575,7791,214,-587,294,1145,10,09:55:39.113338
-22,587,7789,212,-588,298,1155,10,09:55:39.153862
-17,568,7785,201,-589,297,1165,10,09:55:39.203885
-20,572,7792,211,-590,296,1175,10,09:55:39.243643
-20,572,7790,216,-595,289,1185,10,09:55:39.274090
-22,581,7801,212,-584,296,1195,10,09:55:39.313840
-13,573,7777,207,-592,296,1205,10,09:55:39.353848
-8,575,7788,206,-591,302,1215,10,09:55:39.393253
-16,572,7791,210,-591,296,1225,10,09:55:39.433647
-24,568,7779,213,-589,296,1235,10,09:55:39.473649
-25,567,7773,208,-590,299,1245,10,09:55:39.514342
-14,578,7777,208,-591,298,1255,10,09:55:39.553695
-12,564,7785,207,-591,300,1265,10,09:55:39.603659
-15,572,7775,216,-594,291,1275,10,09:55:39.633665
-21,570,7788,218,-590,296,1285,10,09:55:39.673669
-12,580,7791,210,-593,296,1295,10,09:55:39.713674
-21,565,7778,217,-588,296,1305,10,09:55:39.754190
-14,570,7781,204,-587,301,1315,10,09:55:39.793982
-7,567,7791,219,-585,300,1325,10,09:55:39.833677
-10,576,7774,209,-593,295,1335,10,09:55:39.873669
-19,579,7784,212,-591,298,1345,10,09:55:39.913707
-18,568,7790,205,-596,295,1355,10,09:55:39.954198
-24,570,7791,211,-588,299,1365,10,09:55:39.994692
-15,582,7798,216,-589,299,1375,10,09:55:40.033680
-18,578,7782,211,-595,298,1385,10,09:55:40.073667
-18,559,7780,211,-588,296,1395,10,09:55:40.113720
-24,570,7789,213,-588,299,1405,10,09:55:40.154020
-11,569,7786,216,-588,293,1415,10,09:55:40.203687
-17,564,7790,212,-592,298,1425,10,09:55:40.233655
-19,564,7785,211,-592,293,1435,10,09:55:40.273692
-17,569,7794,214,-587,299,1445,10,09:55:40.313681
-32,569,7791,217,-584,294,1455,10,09:55:40.353647
-23,562,7785,209,-596,296,1465,10,09:55:40.393687
-23,571,7781,213,-590,300,1475,10,09:55:40.433674
-19,575,7782,212,-596,296,1485,10,09:55:40.474088
-15,566,7775,215,-587,301,1495,10,09:55:40.513956
-10,560,7766,206,-593,298,1505,10,09:55:40.553849
-17,571,7783,215,-587,298,1515,10,09:55:40.593637
-14,583,7782,213,-589,297,1525,10,09:55:40.633154
-12,567,7781,210,-595,294,1535,10,09:55:40.673581
-20,557,7790,209,-588,296,1545,10,09:55:40.723499
-11,585,7790,208,-586,299,1555,10,09:55:40.753378
-8,590,7781,213,-595,300,1565,10,09:55:40.793229
-13,566,7790,207,-588,294,1575,10,09:55:40.833612
-6,571,7789,211,-594,296,1585,10,09:55:40.873610
-4,586,7790,205,-595,297,1595,10,09:55:40.913656
-3,583,7797,216,-588,299,1605,10,09:55:40.954128
1,579,7794,210,-588,297,1615,10,09:55:40.993640
-18,571,7782,212,-590,301,1625,10,09:55:41.035188
-3,578,7789,211,-586,295,1635,10,09:55:41.083635
-12,567,7784,208,-589,297,1645,10,09:55:41.113556
-18,564,7790,210,-591,295,1655,10,09:55:41.153650
-8,570,7786,214,-594,295,1665,10,09:55:41.204142
-10,578,7774,219,-590,296,1675,10,09:55:41.233772
-19,569,7778,204,-591,296,1685,10,09:55:41.273630
-27,566,7770,214,-585,301,1695,10,09:55:41.314036
-21,568,7776,210,-590,299,1705,10,09:55:41.354111
-11,569,7779,211,-592,293,1715,10,09:55:41.393650
-15,576,7793,213,-590,294,1725,10,09:55:41.434659
-15,575,7787,209,-588,297,1735,10,09:55:41.473652
-17,578,7791,209,-584,294,1745,10,09:55:41.513625
-13,578,7788,215,-595,297,1755,10,09:55:41.554033
-23,572,7808,211,-587,297,1765,10,09:55:41.593650
-18,575,7792,213,-586,296,1775,10,09:55:41.633598
-23,572,7788,210,-590,299,1785,10,09:55:41.673659
-15,569,7799,213,-587,300,1795,10,09:55:41.713839
-8,562,7791,202,-592,294,1805,10,09:55:41.753641
-10,578,7795,207,-591,297,1815,10,09:55:41.793636
-13,580,7796,209,-594,294,1825,10,09:55:41.834635
-1,572,7791,207,-594,301,1835,10,09:55:41.873646
-26,583,7795,205,-594,300,1845,10,09:55:41.914175
-10,576,7780,205,-596,303,1855,10,09:55:41.954093
-19,564,7793,210,-589,299,1865,10,09:55:41.993774
-19,577,7798,209,-587,295,1875,10,09:55:42.033632
-9,572,7779,217,-591,297,1885,10,09:55:42.073681
-27,576,7790,212,-590,298,1895,10,09:55:42.113648
-12,567,7783,212,-591,299,1905,10,09:55:42.153676
-11,579,7790,209,-590,299,1915,10,09:55:42.213679
-16,574,7786,209,-586,294,1925,10,09:55:42.233691
-6,572,7796,208,-587,296,1935,10,09:55:42.273675
-20,574,7792,207,-592,302,1945,10,09:55:42.313650
-14,575,7783,213,-586,300,1955,10,09:55:42.353915
-27,576,7790,215,-588,295,1965,10,09:55:42.393565
-17,566,7787,211,-591,300,1975,10,09:55:42.433611
-18,574,7774,210,-587,295,1985,10,09:55:42.473665
-26,564,7778,211,-589,296,1995,10,09:55:42.513702
-26,578,7784,213,-589,295,2005,10,09:55:42.563729
-13,568,7779,210,-591,299,2015,10,09:55:42.593886
-15,560,7795,209,-589,293,2025,10,09:55:42.633686
-18,575,7794,213,-585,297,2035,10,09:55:42.673659
-8,585,7789,209,-589,297,2045,10,09:55:42.713708
-9,575,7798,213,-591,294,2055,10,09:55:42.753686
-19,577,7786,218,-584,301,2065,10,09:55:42.794683
-3,581,7792,215,-595,298,2075,10,09:55:42.833881
-9,579,7791,212,-586,293,2085,10,09:55:42.874029
2,578,7781,211,-592,296,2095,10,09:55:42.913462
-16,572,7786,208,-594,298,2105,10,09:55:42.953384
-4,579,7772,211,-590,297,2115,10,09:55:42.993828
-17,587,7784,211,-591,301,2125,10,09:55:43.033837
-17,567,7778,205,-590,297,2135,10,09:55:43.073547
-21,575,7783,209,-591,301,2145,10,09:55:43.113672
-16,577,7785,202,-599,298,2155,10,09:55:43.153669
-5,571,7791,206,-593,296,2165,10,09:55:43.203652
-20,568,7791,214,-596,301,2175,10,09:55:43.233624
-15,578,7790,207,-593,300,2185,10,09:55:43.273636
-13,573,7796,209,-594,297,2195,10,09:55:43.313642
0,585,7787,215,-586,297,2205,10,09:55:43.354105
-14,582,7790,207,-590,298,2215,10,09:55:43.393640
-9,578,7784,212,-591,294,2225,10,09:55:43.433654
