PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
100586,79272,292167,214407,790,10,09:55:37.703920
100581,79274,292152,214401,800,0,09:55:37.753993
100585,79267,292165,214407,810,0,09:55:37.774290
100576,79266,292148,214404,820,0,09:55:37.813678
100572,79261,292147,214387,830,0,09:55:37.854343
100577,79268,292154,214394,840,0,09:55:37.893668
100571,79259,292147,214391,850,0,09:55:37.934311
100575,79261,292149,214394,860,0,09:55:37.973156
100577,79260,292156,214401,870,0,09:55:38.014349
100574,79257,292149,214395,880,0,09:55:38.053236
100582,79266,292153,214400,890,0,09:55:38.093687
100576,79264,292150,214396,900,0,09:55:38.133701
100574,79263,292147,214392,910,0,09:55:38.173313
100571,79263,292148,214401,920,0,09:55:38.213691
100573,79264,292143,214391,930,0,09:55:38.263730
100575,79265,292140,214394,940,0,09:55:38.293682
100573,79262,292149,214400,950,0,09:55:38.334358
100576,79257,292155,214396,960,0,09:55:38.373781
100576,79272,292138,214386,970,0,09:55:38.413443
100580,79270,292145,214399,980,0,09:55:38.453542
100576,79262,292147,214391,990,0,09:55:38.503548
100567,79257,292148,214396,1000,0,09:55:38.533645
100573,79263,292139,214395,1010,0,09:55:38.583671
102080,80479,292143,214394,1020,0,09:55:38.613693
106563,84150,292139,214388,1030,0,09:55:38.654339
106566,84154,292133,214392,1040,0,09:55:38.693671
106563,84150,292137,214393,1050,0,09:55:38.734353
106560,84147,292135,214391,1060,0,09:55:38.774685
106559,84142,292128,214383,1070,0,09:55:38.813337
106555,84143,292132,214385,1080,0,09:55:38.863595
106560,84143,292130,214382,1090,0,09:55:38.894351
106566,84156,292132,214387,1100,0,09:55:38.943566
106564,84147,292132,214381,1110,0,09:55:38.973490
106561,84146,292129,214381,1120,0,09:55:39.013664
106562,84146,292125,214379,1130,0,09:55:39.053327
106557,84144,292126,214378,1140,0,09:55:39.093182
106560,84145,292123,214372,1150,0,09:55:39.133310
106560,84141,292120,214375,1160,0,09:55:39.174276
106553,84139,292123,214375,1170,0,09:55:39.214336
106556,84143,292122,214374,1180,0,09:55:39.253664
106554,84142,292119,214370,1190,0,09:55:39.294361
106551,84140,292126,214384,1200,0,09:55:39.333649
106555,84140,292118,214375,1210,0,09:55:39.373553
106556,84143,292115,214373,1220,0,09:55:39.413466
