Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
-150,-162,7658,-9734,-27711,-1933,708,0,09:55:37.845398
-152,-161,7654,-175,-503,-32,718,10,09:55:37.874689
-159,-169,7646,-179,-504,-33,728,10,09:55:37.914707
-144,-156,7641,-173,-501,-36,738,10,09:55:37.954984
-141,-158,7658,-176,-506,-36,748,10,09:55:37.994718
-138,-155,7663,-179,-503,-40,758,10,09:55:38.034679
-152,-162,7654,-180,-511,-37,768,10,09:55:38.074716
-155,-157,7652,-181,-501,-38,778,10,09:55:38.115491
-148,-158,7653,-181,-505,-35,788,10,09:55:38.158828
-144,-168,7641,-174,-498,-33,798,10,09:55:38.194708
-134,-155,7647,-183,-501,-34,808,10,09:55:38.234712
-160,-159,7648,-174,-504,-36,818,10,09:55:38.285596
-146,-162,7647,-181,-508,-31,828,10,09:55:38.325485
-139,-157,7655,-171,-501,-31,838,10,09:55:38.365137
-141,-162,7653,-184,-501,-33,848,10,09:55:38.394882
-151,-151,7658,-178,-502,-38,858,10,09:55:38.434592
-139,-161,7651,-177,-510,-37,868,10,09:55:38.475274
-155,-163,7639,-174,-506,-35,878,10,09:55:38.515680
-158,-167,7651,-179,-504,-33,888,10,09:55:38.554572
-145,-158,7650,-175,-502,-38,898,10,09:55:38.594855
-147,-155,7646,-179,-505,-34,908,10,09:55:38.654339
-144,-150,7661,-177,-504,-38,918,10,09:55:38.674722
-164,-164,7661,-173,-505,-39,928,10,09:55:38.714702
-155,-162,7657,-178,-501,-40,938,10,09:55:38.754703
-150,-157,7657,-176,-498,-35,948,10,09:55:38.794708
-143,-157,7643,-176,-497,-43,958,10,09:55:38.845307
-147,-157,7645,-182,-505,-35,968,10,09:55:38.884871
-136,-166,7651,-178,-500,-36,978,10,09:55:38.914677
-156,-160,7648,-178,-506,-33,988,10,09:55:38.955170
-148,-159,7647,-170,-506,-36,998,10,09:55:38.995004
-150,-158,7668,-175,-506,-41,1008,10,09:55:39.034669
-147,-157,7646,-172,-500,-34,1018,10,09:55:39.074618
-139,-152,7658,-179,-500,-35,1028,10,09:55:39.114334
-153,-157,7651,-173,-502,-34,1038,10,09:55:39.157335
-145,-153,7654,-177,-504,-39,1048,10,09:55:39.194674
-144,-170,7647,-172,-504,-34,1058,10,09:55:39.235879
-151,-150,7653,-180,-505,-34,1068,10,09:55:39.285603
-138,-171,7652,-176,-502,-33,1078,10,09:55:39.325338
-157,-159,7656,-181,-508,-40,1088,10,09:55:39.364614
-160,-157,7655,-177,-500,-36,1098,10,09:55:39.394249
-146,-162,7647,-179,-502,-36,1108,10,09:55:39.435646
-158,-160,7651,-180,-505,-36,1118,10,09:55:39.475647
-151,-163,7634,-181,-506,-39,1128,10,09:55:39.515338
-144,-158,7648,-178,-502,-35,1138,10,09:55:39.554662
-154,-159,7652,-182,-507,-36,1148,10,09:55:39.594182
-154,-165,7668,-177,-497,-35,1158,10,09:55:39.654664
-165,-170,7640,-184,-509,-34,1168,10,09:55:39.674673
-153,-153,7652,-174,-501,-39,1178,10,09:55:39.714675
-145,-143,7663,-179,-506,-36,1188,10,09:55:39.765422
-150,-165,7636,-171,-496,-39,1198,10,09:55:39.805304
-148,-162,7649,-188,-508,-39,1208,10,09:55:39.834678
-153,-160,7651,-169,-495,-39,1218,10,09:55:39.874696
-153,-171,7640,-178,-505,-32,1228,10,09:55:39.914987
-152,-148,7643,-174,-501,-37,1238,10,09:55:39.955130
-156,-153,7656,-185,-505,-38,1248,10,09:55:39.994692
-153,-166,7664,-176,-503,-35,1258,10,09:55:40.034681
-147,-179,7649,-177,-508,-35,1268,10,09:55:40.074863
-139,-158,7648,-177,-506,-33,1278,10,09:55:40.114721
-156,-146,7647,-177,-508,-34,1288,10,09:55:40.157292
-147,-161,7656,-174,-508,-37,1298,10,09:55:40.194702
-161,-159,7647,-182,-505,-38,1308,10,09:55:40.234651
-149,-163,7636,-183,-505,-35,1318,10,09:55:40.274705
-147,-165,7656,-184,-505,-37,1328,10,09:55:40.314698
-144,-165,7650,-175,-503,-39,1338,10,09:55:40.354798
-141,-156,7657,-180,-505,-38,1348,10,09:55:40.394699
-141,-166,7651,-184,-507,-39,1358,10,09:55:40.435673
-147,-159,7651,-178,-500,-36,1368,10,09:55:40.475060
-145,-148,7637,-183,-512,-38,1378,10,09:55:40.514953
-150,-161,7642,-177,-504,-37,1388,10,09:55:40.554846
-148,-161,7647,-176,-495,-36,1398,10,09:55:40.594639
-140,-153,7655,-182,-502,-36,1408,10,09:55:40.635150
-156,-168,7643,-180,-507,-40,1418,10,09:55:40.674579
-149,-155,7643,-175,-506,-36,1428,10,09:55:40.715470
-146,-155,7665,-178,-502,-39,1438,10,09:55:40.764339
-144,-159,7638,-186,-502,-36,1448,10,09:55:40.805198
-149,-155,7640,-187,-506,-37,1458,10,09:55:40.834626
-150,-149,7652,-182,-504,-36,1468,10,09:55:40.875639
-141,-171,7650,-176,-499,-32,1478,10,09:55:40.914657
-149,-150,7651,-178,-507,-36,1488,10,09:55:40.955103
-151,-153,7655,-181,-506,-37,1498,10,09:55:40.994640
-146,-171,7660,-178,-506,-36,1508,10,09:55:41.035188
-148,-167,7644,-172,-502,-39,1518,10,09:55:41.075491
-134,-150,7651,-173,-499,-39,1528,10,09:55:41.114554
-157,-162,7651,-180,-503,-38,1538,10,09:55:41.157642
-142,-158,7659,-178,-502,-32,1548,10,09:55:41.195150
-145,-160,7647,-176,-507,-33,1558,10,09:55:41.245224
-153,-153,7649,-168,-502,-37,1568,10,09:55:41.284887
-158,-171,7650,-178,-501,-36,1578,10,09:55:41.324840
-147,-170,7660,-178,-506,-33,1588,10,09:55:41.355107
-141,-150,7663,-177,-501,-39,1598,10,09:55:41.394650
-140,-152,7658,-176,-503,-38,1608,10,09:55:41.435662
-148,-147,7664,-180,-503,-38,1618,10,09:55:41.474652
-143,-164,7642,-181,-507,-39,1628,10,09:55:41.515051
-146,-168,7643,-178,-507,-34,1638,10,09:55:41.555030
-148,-165,7657,-180,-505,-40,1648,10,09:55:41.594651
-152,-175,7651,-175,-503,-36,1658,10,09:55:41.635595
-145,-160,7653,-178,-502,-37,1668,10,09:55:41.674659
-149,-171,7656,-176,-507,-30,1678,10,09:55:41.714835
-154,-166,7655,-179,-504,-35,1688,10,09:55:41.754620
-152,-146,7640,-183,-508,-35,1698,10,09:55:41.804849
-163,-171,7638,-177,-508,-38,1708,10,09:55:41.834635
-159,-150,7645,-183,-503,-41,1718,10,09:55:41.874648
-152,-159,7633,-179,-501,-38,1728,10,09:55:41.915171
-162,-164,7641,-180,-505,-40,1738,10,09:55:41.955056
-155,-152,7652,-174,-502,-36,1748,10,09:55:41.994770
-161,-164,7657,-181,-502,-40,1758,10,09:55:42.034635
-152,-156,7656,-185,-508,-33,1768,10,09:55:42.074697
-150,-173,7651,-174,-503,-33,1778,10,09:55:42.114613
-150,-154,7642,-176,-502,-40,1788,10,09:55:42.157295
-150,-171,7656,-175,-504,-42,1798,10,09:55:42.195484
-148,-163,7641,-179,-503,-36,1808,10,09:55:42.245936
-151,-161,7636,-174,-507,-36,1818,10,09:55:42.284937
-155,-166,7659,-181,-504,-35,1828,10,09:55:42.325012
-149,-158,7645,-181,-506,-35,1838,10,09:55:42.354939
-147,-163,7651,-183,-502,-32,1848,10,09:55:42.395900
-160,-165,7655,-178,-504,-35,1858,10,09:55:42.435608
-157,-161,7649,-176,-501,-33,1868,10,09:55:42.474682
-152,-161,7635,-180,-505,-38,1878,10,09:55:42.514711
-149,-166,7642,-180,-508,-34,1888,10,09:55:42.555385
-159,-162,7651,-176,-505,-34,1898,10,09:55:42.615112
-152,-173,7637,-180,-506,-38,1908,10,09:55:42.634694
-138,-175,7643,-177,-504,-33,1918,10,09:55:42.674662
-145,-155,7644,-182,-502,-42,1928,10,09:55:42.724910
-154,-165,7649,-180,-507,-36,1938,10,09:55:42.764930
-143,-166,7634,-174,-502,-36,1948,10,09:55:42.805218
-152,-173,7640,-184,-501,-38,1958,10,09:55:42.834880
-154,-161,7661,-178,-506,-32,1968,10,09:55:42.875059
-149,-167,7652,-175,-500,-39,1978,10,09:55:42.914459
-146,-169,7650,-172,-503,-35,1988,10,09:55:42.954353
-147,-163,7659,-176,-503,-34,1998,10,09:55:42.994851
-157,-166,7653,-181,-507,-33,2008,10,09:55:43.034832
-155,-177,7649,-179,-507,-34,2018,10,09:55:43.074545
-146,-170,7648,-182,-506,-37,2028,10,09:55:43.114677
-151,-167,7636,-179,-503,-36,2038,10,09:55:43.157441
-140,-168,7652,-180,-504,-36,2048,10,09:55:43.194673
-151,-159,7634,-179,-505,-35,2058,10,09:55:43.234639
-159,-164,7639,-183,-505,-41,2068,10,09:55:43.285166
-152,-160,7646,-177,-502,-38,2078,10,09:55:43.314645
-154,-161,7648,-182,-500,-36,2088,10,09:55:43.354691
-153,-171,7646,-179,-501,-36,2098,10,09:55:43.395637
-155,-170,7650,-180,-504,-38,2108,10,09:55:43.435654
-155,-180,7653,-179,-501,-39,2118,10,09:55:43.474601
-154,-159,7649,-181,-504,-36,2128,10,09:55:43.514885
-139,-163,7643,-180,-509,-36,2138,10,09:55:43.554553
-151,-162,7650,-175,-505,-41,2148,10,09:55:43.594680
-164,-166,7632,-176,-502,-41,2158,10,09:55:43.634641
-150,-158,7640,-173,-503,-35,2168,10,09:55:43.674886
-155,-168,7661,-174,-500,-36,2178,10,09:55:43.724504
-155,-157,7663,-180,-503,-38,2188,10,09:55:43.765347
-154,-155,7659,-180,-503,-38,2198,10,09:55:43.805152
-137,-167,7645,-179,-503,-35,2208,10,09:55:43.835218
-147,-157,7648,-177,-506,-38,2218,10,09:55:43.874562
-151,-166,7650,-174,-499,-39,2228,10,09:55:43.915176
-148,-169,7660,-182,-504,-39,2238,10,09:55:43.954993
-160,-155,7649,-183,-509,-37,2248,10,09:55:43.995482
-147,-168,7661,-175,-501,-33,2258,10,09:55:44.035355
-169,-167,7649,-177,-499,-40,2268,10,09:55:44.075418
-151,-158,7653,-180,-507,-35,2278,10,09:55:44.115584
-147,-162,7641,-177,-503,-32,2288,10,09:55:44.157840
-154,-167,7651,-179,-504,-34,2298,10,09:55:44.205204
-149,-159,7640,-174,-507,-35,2308,10,09:55:44.235864
-143,-164,7641,-175,-500,-39,2318,10,09:55:44.284869
-141,-172,7649,-181,-507,-41,2328,10,09:55:44.315083
-149,-160,7647,-183,-504,-36,2338,10,09:55:44.355014
-146,-170,7645,-172,-508,-38,2348,10,09:55:44.395720
-159,-170,7650,-179,-510,-34,2358,10,09:55:44.435208
-152,-181,7657,-175,-502,-38,2368,10,09:55:44.475486
-161,-166,7647,-180,-501,-42,2378,10,09:55:44.515247
-148,-164,7652,-182,-504,-38,2388,10,09:55:44.555585
-161,-170,7642,-183,-508,-37,2398,10,09:55:44.594451
-150,-167,7650,-183,-506,-29,2408,10,09:55:44.635868
-156,-154,7650,-179,-499,-38,2418,10,09:55:44.675393
-146,-158,7640,-180,-506,-35,2428,10,09:55:44.715351
-168,-165,7650,-173,-507,-34,2438,10,09:55:44.764907
-144,-170,7648,-177,-506,-38,2448,10,09:55:44.801998
-155,-159,7641,-178,-503,-34,2458,10,09:55:44.835309
-155,-163,7648,-179,-511,-34,2468,10,09:55:44.875840
-141,-161,7656,-175,-502,-41,2478,10,09:55:44.914270
-138,-158,7643,-183,-506,-37,2488,10,09:55:44.955233
-154,-168,7644,-184,-505,-40,2498,10,09:55:44.995225
-159,-162,7642,-177,-505,-43,2508,10,09:55:45.035318
-165,-169,7640,-179,-504,-37,2518,10,09:55:45.075007
-143,-164,7644,-181,-506,-38,2528,10,09:55:45.114868
-161,-152,7646,-177,-505,-36,2538,10,09:55:45.157515
-161,-160,7655,-175,-497,-33,2548,10,09:55:45.205387
-142,-157,7637,-180,-504,-37,2558,10,09:55:45.244804
-142,-157,7649,-178,-506,-38,2568,10,09:55:45.275003
-143,-150,7652,-181,-509,-31,2578,10,09:55:45.315233
-156,-164,7652,-178,-507,-34,2588,10,09:55:45.355826
-144,-163,7652,-183,-505,-37,2598,10,09:55:45.394990
-152,-157,7650,-179,-508,-41,2608,10,09:55:45.434498
-156,-162,7651,-176,-505,-39,2618,10,09:55:45.475084
-149,-157,7658,-179,-505,-37,2628,10,09:55:45.515312
-156,-163,7640,-182,-501,-36,2638,10,09:55:45.574618
-155,-170,7653,-176,-502,-32,2648,10,09:55:45.594836
-143,-164,7656,-177,-504,-35,2658,10,09:55:45.635298
-147,-174,7642,-179,-507,-35,2668,10,09:55:45.685152
-154,-153,7645,-184,-506,-29,2678,10,09:55:45.725198
-136,-171,7658,-179,-505,-38,2688,10,09:55:45.764860
-151,-157,7636,-175,-508,-35,2698,10,09:55:45.794849
-152,-156,7641,-174,-506,-39,2708,10,09:55:45.835102
-144,-158,7648,-178,-508,-38,2718,10,09:55:45.875805
-157,-168,7650,-176,-503,-35,2728,10,09:55:45.914624
-162,-167,7654,-184,-498,-39,2738,10,09:55:45.955184
-155,-173,7642,-178,-502,-38,2748,10,09:55:45.994635
-150,-163,7650,-179,-505,-39,2758,10,09:55:46.035288
-151,-172,7652,-176,-500,-37,2768,10,09:55:46.075355
-167,-166,7634,-176,-498,-38,2778,10,09:55:46.115336
-161,-166,7637,-183,-501,-36,2788,10,09:55:46.157273
-152,-158,7645,-174,-506,-37,2798,10,09:55:46.194622
-144,-170,7645,-182,-503,-35,2808,10,09:55:46.235277
-161,-175,7651,-183,-501,-35,2818,10,09:55:46.274787
-157,-177,7638,-179,-505,-38,2828,10,09:55:46.315073
-148,-159,7651,-189,-513,-38,2838,10,09:55:46.355224
-152,-172,7648,-175,-506,-38,2848,10,09:55:46.394735
-159,-167,7642,-176,-507,-33,2858,10,09:55:46.435102
-156,-150,7641,-182,-504,-37,2868,10,09:55:46.474770
-139,-161,7640,-174,-501,-37,2878,10,09:55:46.514299
-154,-166,7636,-183,-508,-36,2888,10,09:55:46.555076
-155,-163,7641,-177,-504,-40,2898,10,09:55:46.595230
-151,-168,7654,-183,-504,-34,2908,10,09:55:46.634641
-136,-163,7640,-177,-501,-36,2918,10,09:55:46.684866
-154,-176,7643,-180,-508,-35,2928,10,09:55:46.724801
-169,-173,7646,-179,-506,-38,2938,10,09:55:46.754994
-150,-168,7636,-180,-505,-39,2948,10,09:55:46.794649
-155,-161,7635,-180,-505,-32,2958,10,09:55:46.835302
-146,-169,7652,-174,-498,-44,2968,10,09:55:46.874904
-155,-163,7647,-178,-503,-38,2978,10,09:55:46.914224
-159,-158,7651,-179,-501,-41,2988,10,09:55:46.954850
-154,-168,7635,-176,-505,-31,2998,10,09:55:46.994164
-157,-165,7656,-182,-508,-37,3008,10,09:55:47.035113
-148,-162,7656,-178,-503,-35,3018,10,09:55:47.075140
-151,-165,7652,-174,-502,-42,3028,10,09:55:47.115026
-155,-151,7653,-178,-498,-42,3038,10,09:55:47.167796
-153,-163,7648,-176,-501,-36,3048,10,09:55:47.204610
-147,-172,7643,-175,-502,-35,3058,10,09:55:47.245209
-158,-158,7652,-185,-510,-38,3068,10,09:55:47.275164
-158,-165,7654,-175,-502,-35,3078,10,09:55:47.315191
-142,-156,7650,-175,-506,-44,3088,10,09:55:47.355703
-161,-165,7633,-183,-506,-36,3098,10,09:55:47.394662
-138,-151,7649,-174,-505,-34,3108,10,09:55:47.434543
-153,-158,7651,-186,-504,-35,3118,10,09:55:47.474467
-156,-175,7646,-178,-501,-37,3128,10,09:55:47.534916
-152,-157,7638,-175,-501,-37,3138,10,09:55:47.554749
-150,-163,7654,-174,-500,-34,3148,10,09:55:47.595301
-149,-153,7651,-175,-500,-36,3158,10,09:55:47.635169
-152,-162,7633,-179,-503,-36,3168,10,09:55:47.674899
-153,-166,7649,-181,-508,-34,3178,10,09:55:47.724376
-152,-159,7647,-179,-503,-37,3188,10,09:55:47.754290
-146,-159,7653,-176,-504,-36,3198,10,09:55:47.793986
-157,-167,7640,-183,-508,-33,3208,10,09:55:47.835220
-149,-168,7646,-180,-503,-36,3218,10,09:55:47.875341
-154,-169,7655,-178,-508,-33,3228,10,09:55:47.915212
-149,-164,7643,-182,-505,-35,3238,10,09:55:47.955356
-155,-170,7640,-180,-500,-39,3248,10,09:55:47.995487
-150,-158,7662,-179,-505,-35,3258,10,09:55:48.034635
-152,-161,7656,-184,-505,-38,3268,10,09:55:48.074764
-157,-154,7647,-182,-509,-34,3278,10,09:55:48.125223
-160,-167,7642,-176,-503,-36,3288,10,09:55:48.156851
-142,-168,7655,-183,-509,-34,3298,10,09:55:48.204990
-140,-160,7652,-177,-504,-38,3308,10,09:55:48.235876
-153,-156,7648,-184,-508,-37,3318,10,09:55:48.275773
-149,-165,7651,-183,-505,-40,3328,10,09:55:48.314646
-151,-171,7649,-174,-501,-32,3338,10,09:55:48.354647
-151,-166,7650,-173,-501,-35,3348,10,09:55:48.395136
-159,-164,7648,-179,-500,-37,3358,10,09:55:48.435060
-160,-179,7653,-178,-500,-34,3368,10,09:55:48.475329
-149,-168,7648,-175,-504,-39,3378,10,09:55:48.515112
-152,-161,7644,-179,-499,-39,3388,10,09:55:48.561623
-154,-166,7649,-178,-500,-37,3398,10,09:55:48.595008
-163,-164,7638,-179,-504,-38,3408,10,09:55:48.645754
-156,-160,7641,-180,-509,-36,3418,10,09:55:48.675090
