PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
37832,33528,69429,70096,700,10,09:55:37.814679
37828,33525,69428,70095,710,0,09:55:37.854343
37828,33525,69426,70096,720,0,09:55:37.894665
37827,33521,69429,70102,730,0,09:55:37.935331
37823,33522,69429,70098,740,0,09:55:37.974175
37821,33527,69429,70100,750,0,09:55:38.014349
37814,33525,69424,70097,760,0,09:55:38.054242
37850,33525,69425,70097,770,0,09:55:38.105463
37802,33520,69432,70102,780,0,09:55:38.134701
37827,33524,69351,70098,790,0,09:55:38.175057
37825,33520,69454,70107,800,0,09:55:38.215690
37828,33525,69385,70100,810,0,09:55:38.255216
37824,33523,69427,70100,820,0,09:55:38.294683
37829,33525,69428,70103,830,0,09:55:38.335341
37825,33522,69427,70097,840,0,09:55:38.375351
37827,33521,69426,70098,850,0,09:55:38.414440
37827,33525,69427,70100,860,0,09:55:38.454539
37826,33522,69425,70095,870,0,09:55:38.494572
37846,33519,69423,70095,880,0,09:55:38.544599
37832,33526,69419,70097,890,0,09:55:38.584681
37864,33521,69425,70100,900,0,09:55:38.614701
37811,33522,69423,70097,910,0,09:55:38.655334
37822,33521,69413,70101,920,0,09:55:38.694671
37822,33518,69461,70096,930,0,09:55:38.735352
37826,33521,69408,70095,940,0,09:55:38.774685
37828,33523,69426,70099,950,0,09:55:38.814338
37824,33520,69422,70095,960,0,09:55:38.855302
37825,33522,69423,70092,970,0,09:55:38.894351
37825,33522,69422,70089,980,0,09:55:38.935378
37785,33518,69425,70094,990,0,09:55:38.974457
37826,33524,69421,70092,1000,0,09:55:39.025360
37834,33519,69421,70093,1010,0,09:55:39.064866
39364,34908,88373,89745,1020,0,09:55:39.105477
39618,35107,91138,92731,1030,0,09:55:39.135058
39602,35106,91141,92731,1040,0,09:55:39.175050
39610,35111,91161,92737,1050,0,09:55:39.215450
39615,35113,91085,92730,1060,0,09:55:39.254665
39606,35099,91156,92730,1070,0,09:55:39.295329
39608,35108,91139,92730,1080,0,09:55:39.334655
39609,35107,91136,92727,1090,0,09:55:39.374551
39608,35110,91136,92731,1100,0,09:55:39.414463
39606,35107,91133,92728,1110,0,09:55:39.454911
39617,35105,91134,92729,1120,0,09:55:39.494635
39607,35109,91136,92730,1130,0,09:55:39.535333
39603,35102,91134,92726,1140,0,09:55:39.585299
39601,35101,91131,92721,1150,0,09:55:39.614920
39590,35107,91132,92731,1160,0,09:55:39.655661
39664,35108,91133,92725,1170,0,09:55:39.695418
39579,35103,91112,92728,1180,0,09:55:39.734659
39606,35107,91138,92730,1190,0,09:55:39.774308
39604,35101,91178,92726,1200,0,09:55:39.815175
39605,35103,91112,92725,1210,0,09:55:39.865395
39605,35107,91132,92728,1220,0,09:55:39.895683
39608,35109,91129,92724,1230,0,09:55:39.935222
39603,35102,91132,92728,1240,0,09:55:39.975374
39604,35105,91130,92722,1250,0,09:55:40.014340
39606,35110,91138,92735,1260,0,09:55:40.054707
39606,35105,91132,92729,1270,0,09:55:40.095303
39621,35109,91130,92719,1280,0,09:55:40.134623
39582,35099,91127,92721,1290,0,09:55:40.174305
39592,35105,91128,92719,1300,0,09:55:40.214495
39655,35110,91141,92724,1310,0,09:55:40.254598
39602,35106,91129,92726,1320,0,09:55:40.294692
39604,35106,91119,92726,1330,0,09:55:40.335203
39601,35101,91160,92720,1340,0,09:55:40.374663
39601,35100,91126,92724,1350,0,09:55:40.414447
39600,35103,91130,92726,1360,0,09:55:40.454798
39602,35101,91128,92725,1370,0,09:55:40.504981
39606,35107,91132,92732,1380,0,09:55:40.544873
39604,35102,91128,92722,1390,0,09:55:40.574795
39601,35101,91126,92719,1400,0,09:55:40.614910
39604,35105,91129,92722,1410,0,09:55:40.654424
39602,35099,91128,92722,1420,0,09:55:40.695523
39638,35103,91130,92718,1430,0,09:55:40.735418
39567,35106,91101,92721,1440,0,09:55:40.774813
39580,35101,91129,92723,1450,0,09:55:40.815244
39598,35099,91108,92716,1460,0,09:55:40.874643
39604,35104,91099,92722,1470,0,09:55:40.885368
39595,35098,91123,92721,1480,0,09:55:40.934647
39591,35092,91126,92724,1490,0,09:55:40.975295
39601,35105,91124,92722,1500,0,09:55:41.014883
39597,35104,91122,92722,1510,0,09:55:41.064587
39598,35103,91123,92721,1520,0,09:55:41.094607
40870,36256,105060,107157,1530,0,09:55:41.134501
41440,36768,111371,113738,1540,0,09:55:41.175635
41450,36775,111375,113736,1550,0,09:55:41.215329
41446,36767,111373,113735,1560,0,09:55:41.245224
41393,36771,111385,113745,1570,0,09:55:41.284887
41518,36772,111373,113733,1580,0,09:55:41.324840
41407,36771,111388,113729,1590,0,09:55:41.365397
41442,36768,111303,113734,1600,0,09:55:41.405148
41445,36772,111434,113737,1610,0,09:55:41.444529
41442,36768,111347,113732,1620,0,09:55:41.485301
41444,36772,111370,113731,1630,0,09:55:41.525373
41441,36771,111369,113731,1640,0,09:55:41.565298
41438,36763,111364,113724,1650,0,09:55:41.604379
41443,36774,111368,113736,1660,0,09:55:41.654583
41442,36770,111369,113732,1670,0,09:55:41.695229
41442,36770,111364,113732,1680,0,09:55:41.725296
41440,36769,111365,113731,1690,0,09:55:41.765157
41453,36764,111362,113725,1700,0,09:55:41.804849
41424,36763,111366,113728,1710,0,09:55:41.845562
41445,36767,111362,113726,1720,0,09:55:41.884975
41437,36769,111386,113727,1730,0,09:55:41.925369
41442,36775,111353,113728,1740,0,09:55:41.974824
41439,36769,111360,113725,1750,0,09:55:42.004778
41435,36765,111364,113733,1760,0,09:55:42.045295
41437,36766,111361,113723,1770,0,09:55:42.085339
41443,36771,111363,113729,1780,0,09:55:42.125298
41434,36762,111365,113728,1790,0,09:55:42.174299
41436,36761,111363,113727,1800,0,09:55:42.244915
41441,36769,111364,113729,1810,0,09:55:42.255105
41465,36765,111362,113727,1820,0,09:55:42.284937
41442,36769,111369,113727,1830,0,09:55:42.326036
41393,36759,111358,113726,1840,0,09:55:42.365296
41496,36765,111362,113726,1850,0,09:55:42.405343
41423,36767,111405,113723,1860,0,09:55:42.445323
41437,36765,111317,113727,1870,0,09:55:42.485922
41440,36770,111411,113725,1880,0,09:55:42.525292
41437,36764,111349,113726,1890,0,09:55:42.564730
41434,36763,111358,113723,1900,0,09:55:42.615112
41435,36762,111357,113725,1910,0,09:55:42.655324
41434,36762,111357,113723,1920,0,09:55:42.685908
41436,36767,111356,113720,1930,0,09:55:42.725929
41441,36773,111359,113723,1940,0,09:55:42.764930
41438,36759,111357,113718,1950,0,09:55:42.805644
41436,36768,111355,113719,1960,0,09:55:42.844852
41478,36763,111360,113727,1970,0,09:55:42.885279
41409,36762,111349,113716,1980,0,09:55:42.924432
41425,36762,111359,113726,1990,0,09:55:42.964901
41421,36765,111390,113721,2000,0,09:55:43.004824
41438,36765,111319,113723,2010,0,09:55:43.044405
41434,36763,111362,113721,2020,0,09:55:43.094618
41436,36767,111345,113721,2030,0,09:55:43.135327
42383,37603,120906,123556,2040,0,09:55:43.174657
43339,38452,130397,133382,2050,0,09:55:43.204651
43341,38456,130393,133375,2060,0,09:55:43.245325
43338,38452,130392,133386,2070,0,09:55:43.285166
43328,38450,130385,133378,2080,0,09:55:43.325321
43339,38452,130386,133377,2090,0,09:55:43.365092
43341,38456,130383,133377,2100,0,09:55:43.404616
43328,38447,130392,133379,2110,0,09:55:43.464492
43328,38451,130368,133376,2120,0,09:55:43.485304
43365,38456,130387,133383,2130,0,09:55:43.525393
43328,38448,130419,133375,2140,0,09:55:43.565323
43337,38450,130375,133372,2150,0,09:55:43.605370
43342,38455,130411,133373,2160,0,09:55:43.655089
43337,38453,130379,133377,2170,0,09:55:43.685882
43334,38448,130380,133371,2180,0,09:55:43.725502
43337,38452,130379,133370,2190,0,09:55:43.765347
43335,38448,130383,133374,2200,0,09:55:43.805152
43340,38450,130380,133371,2210,0,09:55:43.844867
43344,38450,130384,133376,2220,0,09:55:43.885872
43339,38454,130383,133379,2230,0,09:55:43.924474
43366,38452,130383,133373,2240,0,09:55:43.965302
43307,38451,130382,133370,2250,0,09:55:44.005071
43342,38441,130377,133369,2260,0,09:55:44.045875
43347,38456,130382,133370,2270,0,09:55:44.094291
43338,38450,130343,133373,2280,0,09:55:44.134665
43336,38449,130392,133369,2290,0,09:55:44.174650
43333,38445,130374,133379,2300,0,09:55:44.206227
43342,38456,130380,133373,2310,0,09:55:44.245361
43334,38449,130375,133366,2320,0,09:55:44.284869
43336,38449,130378,133369,2330,0,09:55:44.325574
43331,38441,130379,133370,2340,0,09:55:44.364860
43337,38452,130377,133375,2350,0,09:55:44.405520
43333,38445,130378,133372,2360,0,09:55:44.445287
43334,38450,130377,133374,2370,0,09:55:44.485572
43351,38453,130377,133372,2380,0,09:55:44.525321
43296,38448,130370,133365,2390,0,09:55:44.574505
43358,38447,130371,133364,2400,0,09:55:44.614920
43308,38448,130394,133369,2410,0,09:55:44.654810
43331,38445,130373,133375,2420,0,09:55:44.685288
43336,38450,130408,133369,2430,0,09:55:44.725335
43334,38449,130358,133367,2440,0,09:55:44.764907
43333,38446,130371,133360,2450,0,09:55:44.804992
43335,38447,130368,133360,2460,0,09:55:44.844175
43333,38446,130376,133371,2470,0,09:55:44.885757
43333,38445,130369,133364,2480,0,09:55:44.925283
43331,38446,130372,133360,2490,0,09:55:44.964195
43330,38448,130373,133368,2500,0,09:55:45.005083
43330,38444,130368,133369,2510,0,09:55:45.045196
43315,38445,130371,133367,2520,0,09:55:45.084912
43351,38444,130370,133363,2530,0,09:55:45.134577
43363,38442,130370,133366,2540,0,09:55:45.174470
43784,38854,135054,138102,2550,0,09:55:45.205387
45181,40082,148957,152393,2560,0,09:55:45.245799
45174,40077,148977,152389,2570,0,09:55:45.284977
45180,40085,148951,152383,2580,0,09:55:45.324633
45173,40078,148962,152380,2590,0,09:55:45.364163
45184,40091,148960,152385,2600,0,09:55:45.405284
45178,40080,148958,152388,2610,0,09:55:45.444473
45178,40086,148961,152388,2620,0,09:55:45.484843
45181,40091,148961,152388,2630,0,09:55:45.525332
45178,40084,148957,152380,2640,0,09:55:45.575645
45196,40079,148935,152380,2650,0,09:55:45.614318
45174,40085,148931,152385,2660,0,09:55:45.645313
45200,40083,148953,152378,2670,0,09:55:45.685152
45184,40081,148978,152378,2680,0,09:55:45.725198
45177,40089,148938,152382,2690,0,09:55:45.765805
45173,40080,148948,152379,2700,0,09:55:45.804822
45177,40087,148945,152375,2710,0,09:55:45.844228
45175,40088,148950,152378,2720,0,09:55:45.885281
45174,40084,148945,152370,2730,0,09:55:45.925033
45172,40083,148949,152382,2740,0,09:55:45.964443
45176,40086,148949,152379,2750,0,09:55:46.005477
45172,40083,148948,152378,2760,0,09:55:46.045285
45173,40088,148943,152371,2770,0,09:55:46.094311
45172,40082,148946,152371,2780,0,09:55:46.125283
45177,40080,148949,152381,2790,0,09:55:46.164562
45186,40079,148944,152375,2800,0,09:55:46.205182
45164,40080,148947,152372,2810,0,09:55:46.244497
45154,40082,148948,152379,2820,0,09:55:46.285104
45170,40079,148957,152365,2830,0,09:55:46.325046
45175,40082,148990,152378,2840,0,09:55:46.364199
45174,40079,148918,152372,2850,0,09:55:46.430830
45172,40077,148944,152373,2860,0,09:55:46.444276
45169,40077,148947,152373,2870,0,09:55:46.485100
45176,40083,148949,152371,2880,0,09:55:46.524153
45176,40081,148951,152368,2890,0,09:55:46.564208
45174,40082,148948,152381,2900,0,09:55:46.605304
45175,40084,148950,152380,2910,0,09:55:46.644867
45173,40080,148946,152378,2920,0,09:55:46.684866
45141,40077,148939,152374,2930,0,09:55:46.724801
45159,40075,148964,152379,2940,0,09:55:46.764180
45191,40077,148945,152370,2950,0,09:55:46.805165
45167,40081,148918,152374,2960,0,09:55:46.845275
45172,40079,148880,152377,2970,0,09:55:46.885073
45169,40077,148980,152375,2980,0,09:55:46.924894
45172,40079,148941,152370,2990,0,09:55:46.965353
45169,40078,148946,152373,3000,0,09:55:47.005192
45172,40076,148945,152371,3010,0,09:55:47.055142
45171,40084,148947,152378,3020,0,09:55:47.094282
45176,40090,148945,152373,3030,0,09:55:47.124762
45173,40084,148939,152369,3040,0,09:55:47.184751
45166,40074,148946,152375,3050,0,09:55:47.204610
45326,40185,150065,153500,3060,0,09:55:47.245209
47072,41756,166691,170452,3070,0,09:55:47.285633
47049,41758,166736,170450,3080,0,09:55:47.325276
47074,41750,166753,170448,3090,0,09:55:47.365046
47066,41755,166753,170442,3100,0,09:55:47.424569
47067,41753,166692,170440,3110,0,09:55:47.451498
47068,41756,166713,170438,3120,0,09:55:47.485436
47066,41752,166720,170435,3130,0,09:55:47.534916
47071,41756,166721,170435,3140,0,09:55:47.564736
47067,41755,166722,170438,3150,0,09:55:47.604182
47065,41751,166722,170438,3160,0,09:55:47.645286
47067,41753,166717,170435,3170,0,09:55:47.685043
47069,41754,166718,170436,3180,0,09:55:47.724376
47067,41749,166719,170436,3190,0,09:55:47.765237
47055,41748,166730,170432,3200,0,09:55:47.805260
47082,41750,166719,170433,3210,0,09:55:47.844153
47133,41755,166721,170435,3220,0,09:55:47.904637
47053,41748,166719,170432,3230,0,09:55:47.924900
47066,41747,166702,170427,3240,0,09:55:47.965305
47066,41746,166753,170430,3250,0,09:55:48.004961
47066,41746,166690,170429,3260,0,09:55:48.044605
47067,41747,166711,170432,3270,0,09:55:48.085026
47071,41756,166714,170432,3280,0,09:55:48.125223
47071,41754,166710,170429,3290,0,09:55:48.164436
47073,41752,166712,170431,3300,0,09:55:48.204990
47067,41753,166714,170428,3310,0,09:55:48.245489
47073,41750,166711,170432,3320,0,09:55:48.285852
47081,41749,166709,170428,3330,0,09:55:48.324167
47061,41747,166707,170427,3340,0,09:55:48.365304
46989,41743,166707,170426,3350,0,09:55:48.405035
47093,41746,166710,170424,3360,0,09:55:48.445157
47056,41744,166707,170429,3370,0,09:55:48.485220
47063,41749,166634,170430,3380,0,09:55:48.524885
47062,41745,166760,170424,3390,0,09:55:48.574824
47063,41748,166708,170426,3410,-10,09:55:48.645754
47070,41751,166704,170423,3420,0,09:55:48.684892
47060,41748,166706,170429,3430,0,09:55:48.725135
47045,41746,166707,170426,3440,0,09:55:48.764902
47063,41744,166708,170425,3450,0,09:55:48.804155
47071,41749,166709,170427,3460,0,09:55:48.845259
47087,41748,166714,170432,3470,0,09:55:48.885037
47072,41746,166711,170432,3480,0,09:55:48.924929
47049,41747,166718,170434,3490,0,09:55:48.965214
47060,41747,166727,170429,3500,0,09:55:49.005100
