PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss
25936,19891,127747,113621,90,10
25105,17212,126151,107228,100,0
24670,15033,125734,102767,110,0
23025,13663,121709,99189,120,0
19479,10926,112171,92306,130,0
18392,9721,109124,89251,140,0
17567,8842,107289,87937,150,0
17196,8443,106400,87017,160,0
16979,8222,105841,86723,170,0
17161,8635,106455,88092,180,0
18298,10545,109435,93094,190,0
19045,12130,111401,97010,200,0
19821,14018,113407,101574,210,0
20045,15937,113627,105611,220,0
18294,12982,108860,97167,230,0
16754,8365,104563,86270,240,0
16134,7752,103202,84817,250,0
16062,7706,102523,84055,260,0
15973,7552,102464,83723,270,0
15958,7551,102509,83749,280,0
15915,7530,101993,83346,290,0
15946,7485,102243,83607,300,0
15986,7308,102564,83849,310,0
16196,7675,102735,83943,320,0
16207,7603,102648,83859,330,0
15854,7531,102689,83853,340,0
15424,7628,103077,84018,350,0
15443,7560,103130,83653,360,0
16003,7358,103516,83346,370,0
17491,7586,104787,83931,380,0
17733,7966,105789,85020,390,0
17070,7854,105902,85523,400,0
16652,7976,105806,85882,410,0
17332,9376,107225,88791,420,0
17418,9555,107050,89514,430,0
17297,9654,106443,89593,440,0
17321,9992,106043,89701,450,0
17240,10182,105529,89499,460,0
17591,11354,106347,92157,470,0
18583,14428,106486,99381,480,0
19173,16193,108751,103406,490,0
19638,16738,109922,104483,500,0
19767,16730,111378,105110,510,0
19728,16908,111980,106815,520,0
19498,16364,110969,106987,530,0
18448,14308,108568,103095,540,0
18507,11822,109668,96855,550,0
43685,15093,198234,110204,560,0
64224,20642,262719,129673,570,0
63473,19689,256464,125680,580,0
58743,17705,236805,117340,590,0
53723,15832,217459,109964,600,0
45574,14284,188011,103564,610,0
37246,13039,161388,98866,620,0
34143,12536,151302,96941,630,0
34246,12624,150779,96906,640,0
36208,13034,156097,98271,650,0
42960,14308,174922,101953,660,0
56158,16133,212937,108562,670,0
59350,18231,220036,113234,680,0
65522,21544,237326,122147,690,0
66958,19862,241823,118911,700,0
63224,17964,231712,114150,710,0
58268,16740,216947,110376,720,0
55650,16311,209984,109178,730,0
54171,16392,205061,109122,740,0
49704,16076,192017,108171,750,0
44573,15690,176760,106677,760,0
40585,15444,165909,105340,770,0
36150,14263,154716,102692,780,0
31260,13059,140901,99195,790,0
25207,11320,125502,94833,800,0
21180,10415,116061,92351,810,0
20399,10197,114413,91767,820,0
20823,10498,115395,92343,830,0
21493,10976,117196,93636,840,0
22573,11764,120043,95636,850,0
23552,12554,122724,97777,860,0
24778,13417,126018,100027,870,0
27211,14833,132857,104108,880,0
27624,15023,133679,104392,890,0
26726,14286,131491,102676,900,0
26228,13899,129931,101463,910,0
25175,13052,127481,99485,920,0
23865,12178,123823,96800,930,0
21850,10924,118741,93654,940,0
20958,10446,115763,91771,950,0
20225,9974,114315,91063,960,0
20095,9993,113674,90789,970,0
19942,9951,113223,90719,980,0
19908,9949,112976,90669,990,0
20214,10251,113656,91244,1000,0
20686,10541,115581,92484,1010,0
21984,11325,118801,94381,1020,0
23152,11825,122168,96004,1030,0
25208,12643,126816,97806,1040,0
26648,13059,130355,99111,1050,0
26233,12941,129646,99309,1060,0
26203,13572,129470,100041,1070,0
26488,14011,130870,101460,1080,0
26692,14296,130965,101840,1090,0
26347,14165,129973,101669,1100,0
26502,14257,130218,101931,1110,0
26419,14136,130102,101762,1120,0
26292,13968,129452,101041,1130,0
26009,13629,129012,100515,1140,0
25552,13198,128061,99735,1150,0
25512,13281,127305,99479,1160,0
24653,12747,125359,98327,1170,0
23749,12244,122759,96648,1180,0
23327,12039,122029,96195,1190,0
22826,11624,121198,95523,1200,0
22539,11500,119918,94729,1210,0
21829,11063,118001,93540,1220,0
20278,9823,114377,90523,1230,0
18174,8533,108990,86841,1240,0
17116,7881,106909,85676,1250,0
17149,7982,106554,85564,1260,0
16981,7803,106531,85552,1270,0
16927,7714,106384,85367,1280,0
17149,7898,106579,85589,1290,0
17109,7926,106566,85609,1300,0
16949,7784,106405,85412,1310,0
16949,7772,106347,85364,1320,0
17069,7894,106492,85464,1330,0
17014,7812,106574,85534,1340,0
17016,7792,106510,85457,1350,0
17078,7878,106640,85533,1360,0
17019,7780,106631,85516,1370,0
17166,7921,106776,85475,1380,0
17229,7954,106958,85750,1390,0
17217,7882,106995,85693,1400,0
17851,8276,108239,86325,1410,0
19858,8975,113609,88288,1420,0
27589,11995,135989,96516,1430,0
49501,19943,205188,120461,1440,0
104791,32510,396121,164670,1450,0
97585,31153,366827,159188,1460,0
50662,19859,206470,120482,1470,0
24516,11410,126865,95143,1480,0
19583,9252,113295,88930,1490,0
18587,8750,110479,87414,1500,0
