PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss
23856,23183,139518,141137,90,10
23820,23184,139698,141091,100,0
23758,23155,139766,141153,110,0
24015,23162,139721,141121,120,0
23773,23201,139704,141087,130,0
23688,23066,139749,141149,140,0
23944,23068,139734,141146,150,0
23772,23109,139698,141125,160,0
23816,23150,139692,141092,170,0
23868,23201,139680,141061,180,0
23779,23129,139737,141159,190,0
23812,23137,139741,141155,200,0
23800,23126,139711,141146,210,0
23772,23093,139685,141105,220,0
23809,23144,139676,141073,230,0
23846,23007,139669,141081,240,0
23811,23097,139747,141162,250,0
23807,23141,139718,141127,260,0
23885,23234,139693,141119,270,0
23882,23188,139748,141150,280,0
23998,23320,140025,141423,290,0
24035,23332,139843,141316,300,0
24273,23557,140483,141688,310,0
24710,23942,140793,142113,320,0
25209,24365,141468,142724,330,0
26143,25093,143077,143910,340,0
29518,28132,148141,148585,350,0
37400,35812,160591,160726,360,0
48998,47340,174398,176592,370,0
53646,52725,177581,177579,380,0
48426,47591,170072,170083,390,0
42586,41540,163359,163232,400,0
40562,39172,161033,160756,410,0
40276,38242,161480,160445,420,0
39463,36702,160199,158246,430,0
36851,34181,156451,155163,440,0
31498,29686,148150,148562,450,0
28068,26674,143953,144896,460,0
26191,24982,142046,142927,470,0
25292,24452,141140,141981,480,0
24874,24037,140664,141487,490,0
24532,23780,140373,141184,500,0
24151,23451,140188,140966,510,0
24019,23329,140042,140868,520,0
24014,23359,139894,140700,530,0
23951,23265,139866,140717,540,0
23866,23201,139833,140717,550,0
23901,23241,139989,140631,560,0
23907,23242,139548,140617,570,0
23815,22950,138716,140589,580,0
23814,23154,139707,140611,590,0
23712,23164,139666,140575,600,0
23964,23162,139708,140613,610,0
23790,23126,139647,140542,620,0
23141,23155,139722,140581,630,0
23859,23131,139582,140502,640,0
23828,23167,139665,140576,650,0
23807,22946,139672,140590,660,0
23856,23195,139652,140541,670,0
23750,23087,139687,140923,680,0
23769,23109,139690,141090,690,0
23777,22901,139626,141035,700,0
23795,23148,139637,141044,710,0
23792,23130,139644,141047,720,0
23817,23181,139653,141074,730,0
23782,23117,139668,141064,740,0
23784,23127,139632,141035,750,0
23798,23127,139644,141048,760,0
23811,23148,139636,141046,770,0
23800,23128,139643,141082,780,0
23785,23128,139508,140992,790,0
23807,23144,139754,141063,800,0
23782,23126,139691,141041,810,0
23748,23097,139504,141060,820,0
23754,23111,139696,140937,830,0
23786,23129,139627,141024,840,0
23747,23134,139643,141067,850,0
23992,23048,139629,141002,860,0
23539,23072,139624,141036,870,0
23866,23162,139552,140930,880,0
23790,23114,139698,141105,890,0
23764,23117,139617,141034,900,0
23782,23128,139623,141004,910,0
23766,23090,139626,141044,920,0
23802,23124,139601,141002,930,0
23794,23115,139619,141026,940,0
23789,23114,139636,141058,950,0
23771,23099,139636,141028,960,0
23751,23107,139624,141032,970,0
23803,23136,139605,141021,980,0
23808,23145,139598,140999,990,0
23798,23138,139648,141052,1000,0
23783,23005,139621,141053,1010,0
23754,23074,139621,141018,1020,0
23739,23080,139611,141028,1030,0
23807,23139,139461,140943,1040,0
23777,23116,139837,141052,1050,0
23803,23145,139451,141007,1060,0
23802,23130,139141,141020,1070,0
23789,23137,139680,141053,1080,0
23722,23107,139667,141039,1090,0
23856,23149,139595,141034,1100,0
23855,23105,139600,141026,1110,0
23337,23124,139565,140970,1120,0
23827,22943,139604,141030,1130,0
23806,23133,139588,141020,1140,0
23767,23107,139633,141047,1150,0
23795,23102,139584,141009,1160,0
23753,23098,139604,141029,1170,0
23789,23130,139555,140984,1180,0
23816,23080,139551,140957,1190,0
23782,23115,139518,140923,1200,0
23789,23140,139612,140979,1210,0
23775,23122,139601,141029,1220,0
23750,23090,139592,141013,1230,0
23794,23140,139567,140995,1240,0
23770,23132,139622,141034,1250,0
23756,23084,139590,141021,1260,0
23790,23124,139568,140962,1270,0
23812,23155,139548,141022,1280,0
23740,23089,139593,141074,1290,0
23792,23136,139782,140962,1300,0
23777,23117,139395,140991,1310,0
23790,23140,138628,141064,1320,0
23729,23090,139641,141022,1330,0
23673,23133,139581,140982,1340,0
23884,23104,139570,141013,1350,0
23759,23145,139570,141006,1360,0
23768,23167,139570,141018,1370,0
23839,23121,139537,140955,1380,0
23805,23123,139558,140977,1390,0
23772,23088,139549,140975,1400,0
23784,23113,139564,141002,1410,0
23802,23139,139565,141002,1420,0
23717,23049,139584,141003,1430,0
23764,23095,139561,140988,1440,0
23785,23132,139584,140999,1450,0
23785,23132,139574,141011,1460,0
23793,23135,139568,141017,1470,0
23760,23019,139540,140979,1480,0
23779,23127,139587,141030,1490,0
23787,23137,139533,140947,1500,0
23784,23137,139570,140996,1510,0
23806,23134,139574,141012,1520,0
23754,23100,139492,141053,1530,0
23738,23082,139755,141036,1540,0
23747,23098,139572,140996,1550,0
23786,23146,139467,140956,1560,0
23769,23128,139513,140974,1570,0
23765,23137,139536,140934,1580,0
23769,23133,139552,140981,1590,0
23957,23156,139553,140977,1600,0
23635,23094,139573,141009,1610,0
23820,23118,139557,140984,1620,0
23737,23078,139590,140974,1630,0
23747,23102,139547,140972,1640,0
23764,23106,139550,140986,1650,0
23778,23119,139512,140933,1660,0
23788,23128,139560,141004,1670,0
23769,23102,139567,141003,1680,0
23718,23065,139550,140997,1690,0
23573,22954,139500,140913,1700,0
23773,23112,139602,141061,1710,0
23748,23030,139541,140975,1720,0
23795,23160,139541,140974,1730,0
23784,23160,139549,140970,1740,0
23751,23095,139593,141020,1750,0
23779,23124,139547,140972,1760,0
23788,23132,139531,140957,1770,0
23807,23064,139464,140993,1780,0
23743,23086,139834,141034,1790,0
23750,23097,139351,140944,1800,0
23763,23112,139471,140958,1810,0
23786,23137,139583,141030,1820,0
23678,23080,139588,141000,1830,0
23771,23093,139532,140864,1840,0
23855,23063,139528,140940,1850,0
23628,23123,139555,140962,1860,0
23777,23125,139552,141010,1870,0
23826,23149,139450,140888,1880,0
23756,23100,139541,140995,1890,0
23761,23103,139608,141032,1900,0
23772,23109,139524,140965,1910,0
23769,23108,139523,140945,1920,0
23771,23090,139515,140945,1930,0
23786,23113,139553,141008,1940,0
23778,23118,139524,140938,1950,0
23777,23117,139573,140987,1960,0
23775,23103,139552,140979,1970,0
23748,23096,139561,140993,1980,0
23754,23078,139509,140940,1990,0
23773,23125,139558,140987,2000,0
23757,23100,139517,140985,2010,0
23761,23093,139416,140953,2020,0
23773,23105,139749,140995,2030,0
24049,23391,142664,144312,2040,0
24171,23499,144279,145851,2050,0
24167,23515,144249,145828,2060,0
24153,23537,144317,145859,2070,0
24256,23508,144246,145817,2080,0
24264,23535,144276,145806,2090,0
24057,23493,144293,145846,2100,0
24215,23497,144297,145872,2110,0
24172,23499,144315,145872,2120,0
23196,23499,144278,145843,2130,0
24184,23518,144337,145888,2140,0
24186,23395,144304,145870,2150,0
24206,23517,144286,145832,2160,0
24225,23559,144313,145851,2170,0
24209,23555,144329,145833,2180,0
24150,23467,144322,145866,2190,0
24183,23510,144283,145825,2200,0
24203,23526,144258,145813,2210,0
24217,23549,144240,145769,2220,0
24156,23392,144322,145866,2230,0
24184,23500,144293,145869,2240,0
24170,23492,144260,145826,2250,0
24183,23402,144240,145862,2260,0
24171,23498,144296,145812,2270,0
24188,23520,144375,145872,2280,0
24188,23538,144124,145769,2290,0
24182,23497,144334,145881,2300,0
24146,23506,144231,145797,2310,0
24139,23508,144304,145846,2320,0
24353,23531,144226,145781,2330,0
24152,23708,144260,145811,2340,0
24035,23498,144290,145856,2350,0
24161,23482,144286,145861,2360,0
24223,23453,144285,145853,2370,0
24163,23485,144231,145586,2380,0
24169,23499,144246,145808,2390,0
24188,23545,144231,145796,2400,0
24197,23517,144236,145821,2410,0
24156,23454,144235,145829,2420,0
24168,23489,144230,145780,2430,0
24184,23520,144251,145802,2440,0
24165,23497,144253,145817,2450,0
24177,23524,144231,145787,2460,0
24151,23477,144279,145863,2470,0
24140,23489,144152,145486,2480,0
24196,23343,144257,145824,2490,0
24161,23487,144189,145755,2500,0
24188,23526,144204,145782,2510,0
24158,23490,144365,145820,2520,0
24190,23546,144025,145776,2530,0
24178,23513,144315,145807,2540,0
24533,23831,144216,145779,2550,0
24513,23909,144288,145844,2560,0
24740,23880,144229,145804,2570,0
24491,23958,144186,145753,2580,0
24559,23928,144242,145799,2590,0
24588,23933,144261,145839,2600,0
24598,23908,144243,145812,2610,0
24584,23899,144225,145784,2620,0
24597,23933,144202,145762,2630,0
24605,23917,144223,145789,2640,0
24565,23900,144224,145807,2650,0
24607,23920,144221,145765,2660,0
24664,23995,144215,145712,2670,0
24579,23892,144235,145784,2680,0
24629,23958,144242,145804,2690,0
24589,23906,144227,145782,2700,0
24581,23890,144234,145804,2710,0
24566,23869,144255,145810,2720,0
24593,23901,144224,145801,2740,-10
24579,23889,144199,145801,2750,0
24568,23633,144146,145797,2760,0
24629,23978,144470,145796,2770,0
24587,23908,143980,145766,2790,-10
24623,23958,144180,145676,2800,0
24462,23887,144249,145812,2810,0
24753,23939,144266,145832,2820,0
24587,23943,144214,145759,2830,0
24525,23919,144184,145744,2840,0
24561,23898,144222,145809,2850,0
24623,23920,144229,145817,2860,0
24564,23889,144218,145792,2870,0
24599,23913,144211,145762,2880,0
24612,23924,144228,145809,2890,0
24578,23895,144196,145798,2900,0
24614,23917,144217,145782,2910,0
24589,23906,144199,145788,2920,0
24572,23887,144239,145818,2930,0
24611,23918,144168,145736,2940,0
24586,23889,144225,145815,2950,0
24591,23889,144193,145776,2960,0
24626,23936,144209,145785,2970,0
24604,23963,144209,145789,2980,0
24584,23900,144235,145809,2990,0
24570,23896,144159,145799,3000,0
24600,23926,144452,145806,3010,0
24593,23864,144018,145796,3020,0
24597,23924,144157,145776,3030,0
24588,23908,144211,145756,3040,0
24565,23949,144189,145773,3050,0
24647,23931,144184,145773,3060,0
24650,23917,144176,145751,3070,0
