Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
9,-196,7827,9658,-27218,13766,592,0,10:50:02.574231
8,-202,7822,201,-585,291,602,10,10:50:02.612890
2,-203,7821,206,-579,296,612,10,10:50:02.663136
-3,-198,7812,208,-582,296,622,10,10:50:02.693139
9,-205,7821,211,-580,294,632,10,10:50:02.733333
-1,-201,7817,210,-579,295,642,10,10:50:02.773129
-12,-207,7814,207,-584,296,652,10,10:50:02.813539
1,-206,7809,207,-588,298,662,10,10:50:02.853031
5,-215,7817,204,-583,292,672,10,10:50:02.902384
-16,-212,7804,205,-586,291,682,10,10:50:02.932547
1,-210,7813,207,-580,296,692,10,10:50:02.973349
-6,-210,7811,210,-585,294,702,10,10:50:03.013215
2,-198,7821,207,-583,298,712,10,10:50:03.053950
3,-206,7813,209,-579,292,722,10,10:50:03.093750
3,-211,7802,207,-587,292,732,10,10:50:03.133380
13,-215,7816,209,-580,294,742,10,10:50:03.173242
-2,-194,7808,204,-577,291,752,10,10:50:03.213052
1,-204,7813,205,-585,293,762,10,10:50:03.252970
10,-208,7824,208,-583,299,772,10,10:50:03.293258
11,-206,7825,203,-580,297,782,10,10:50:03.333960
-2,-200,7816,212,-577,294,792,10,10:50:03.373539
9,-193,7823,201,-589,298,802,10,10:50:03.413095
1,-204,7817,210,-580,294,812,10,10:50:03.453894
1,-203,7818,206,-583,292,822,10,10:50:03.494158
-1,-202,7812,208,-590,294,832,10,10:50:03.532934
17,-200,7819,203,-582,291,842,10,10:50:03.572870
12,-194,7811,206,-578,294,852,10,10:50:03.612985
10,-205,7807,207,-582,290,862,10,10:50:03.653192
7,-215,7813,204,-583,288,872,10,10:50:03.693685
10,-203,7821,213,-576,294,882,10,10:50:03.733662
11,-203,7820,212,-580,293,892,10,10:50:03.773221
-3,-196,7820,206,-588,297,902,10,10:50:03.813203
0,-201,7813,206,-582,296,912,10,10:50:03.853282
14,-199,7830,205,-583,293,922,10,10:50:03.903400
7,-197,7820,206,-581,297,932,10,10:50:03.943474
-1,-206,7829,205,-579,293,942,10,10:50:03.973210
21,-200,7817,208,-578,294,952,10,10:50:04.013021
-2,-208,7825,209,-582,294,962,10,10:50:04.053392
8,-195,7808,211,-582,295,972,10,10:50:04.093326
2,-206,7799,207,-585,292,982,10,10:50:04.133360
11,-204,7815,211,-584,292,992,10,10:50:04.172969
5,-213,7819,206,-582,294,1002,10,10:50:04.213265
2,-212,7814,210,-585,293,1012,10,10:50:04.253671
0,-189,7829,206,-581,292,1022,10,10:50:04.293579
0,-193,7818,205,-583,293,1032,10,10:50:04.333183
17,-198,7814,205,-582,297,1042,10,10:50:04.373207
2,-202,7815,205,-590,288,1052,10,10:50:04.413692
11,-209,7826,205,-584,293,1062,10,10:50:04.453481
8,-196,7831,208,-585,294,1072,10,10:50:04.493349
14,-218,7812,204,-587,294,1082,10,10:50:04.533567
4,-206,7828,208,-583,291,1092,10,10:50:04.573147
8,-206,7824,206,-585,289,1102,10,10:50:04.613540
-7,-200,7812,213,-576,294,1112,10,10:50:04.653352
9,-213,7811,215,-581,290,1122,10,10:50:04.693919
-8,-206,7829,209,-583,297,1132,10,10:50:04.733489
4,-188,7808,207,-582,295,1142,10,10:50:04.773562
20,-196,7805,209,-582,292,1152,10,10:50:04.813505
-4,-198,7819,210,-586,293,1162,10,10:50:04.853602
15,-217,7826,208,-579,295,1172,10,10:50:04.902697
12,-196,7818,205,-583,296,1182,10,10:50:04.933454
-1,-221,7815,210,-584,292,1192,10,10:50:04.973946
6,-219,7810,212,-580,293,1202,10,10:50:05.013373
-4,-201,7804,205,-589,291,1212,10,10:50:05.052950
-10,-199,7818,206,-585,299,1222,10,10:50:05.093442
14,-205,7823,201,-587,296,1232,10,10:50:05.132540
4,-199,7817,211,-574,296,1242,10,10:50:05.174164
-4,-203,7830,203,-580,300,1252,10,10:50:05.213401
3,-195,7813,208,-579,292,1262,10,10:50:05.253415
3,-195,7814,208,-582,293,1272,10,10:50:05.293373
0,-203,7827,206,-580,293,1282,10,10:50:05.333388
5,-198,7814,208,-585,295,1292,10,10:50:05.373677
5,-208,7799,209,-585,297,1302,10,10:50:05.413448
-1,-195,7822,211,-582,294,1312,10,10:50:05.453341
5,-194,7810,204,-580,291,1322,10,10:50:05.493563
2,-196,7805,206,-580,291,1332,10,10:50:05.533374
-17,-207,7811,208,-577,295,1342,10,10:50:05.573720
0,-207,7821,207,-580,293,1352,10,10:50:05.613645
-2,-207,7812,206,-582,289,1362,10,10:50:05.653403
-3,-204,7812,205,-584,295,1372,10,10:50:05.693102
5,-205,7818,212,-582,294,1382,10,10:50:05.733377
2,-216,7819,207,-582,295,1392,10,10:50:05.772666
9,-214,7809,215,-586,296,1402,10,10:50:05.813393
14,-210,7810,214,-584,294,1412,10,10:50:05.863569
9,-214,7822,210,-579,298,1422,10,10:50:05.894240
-3,-211,7814,206,-582,293,1432,10,10:50:05.943437
-10,-207,7812,206,-586,292,1442,10,10:50:05.973356
4,-201,7819,205,-583,292,1452,10,10:50:06.013992
-9,-206,7825,205,-583,300,1462,10,10:50:06.053942
2,-215,7811,207,-582,293,1472,10,10:50:06.092652
-7,-204,7823,204,-583,295,1482,10,10:50:06.133459
11,-192,7821,211,-585,293,1492,10,10:50:06.173089
11,-202,7811,206,-587,292,1502,10,10:50:06.213042
-14,-198,7813,205,-578,297,1512,10,10:50:06.254377
10,-202,7825,208,-584,293,1522,10,10:50:06.292958
7,-198,7817,201,-589,294,1532,10,10:50:06.333248
-9,-217,7813,206,-583,296,1542,10,10:50:06.373145
5,-204,7819,205,-589,294,1552,10,10:50:06.413279
-3,-207,7824,208,-576,293,1562,10,10:50:06.452531
9,-191,7811,205,-584,294,1572,10,10:50:06.492916
8,-199,7814,208,-579,292,1582,10,10:50:06.533021
3,-209,7810,209,-585,292,1592,10,10:50:06.573316
-6,-208,7830,211,-584,296,1602,10,10:50:06.614225
-5,-202,7813,212,-584,297,1612,10,10:50:06.653144
-5,-202,7816,210,-580,297,1622,10,10:50:06.693259
13,-196,7823,209,-585,293,1632,10,10:50:06.733039
-7,-206,7816,210,-585,292,1642,10,10:50:06.773329
5,-197,7798,203,-584,296,1652,10,10:50:06.812762
-5,-209,7807,204,-582,293,1662,10,10:50:06.854140
3,-202,7812,210,-579,294,1672,10,10:50:06.903139
-6,-217,7821,208,-587,293,1682,10,10:50:06.932717
-3,-211,7818,209,-584,296,1692,10,10:50:06.973140
1,-204,7831,210,-581,293,1702,10,10:50:07.013836
-3,-198,7822,207,-583,291,1712,10,10:50:07.053076
6,-204,7806,204,-582,293,1722,10,10:50:07.103003
0,-206,7822,213,-580,293,1732,10,10:50:07.133649
8,-204,7812,209,-582,292,1742,10,10:50:07.173467
5,-207,7815,206,-584,296,1752,10,10:50:07.213534
-12,-215,7812,206,-586,296,1762,10,10:50:07.253329
5,-205,7823,203,-580,296,1772,10,10:50:07.293606
0,-194,7812,206,-581,294,1782,10,10:50:07.333633
0,-196,7815,207,-577,298,1792,10,10:50:07.373760
7,-208,7813,208,-582,293,1802,10,10:50:07.412867
11,-200,7827,211,-584,292,1812,10,10:50:07.453141
9,-199,7834,205,-584,294,1822,10,10:50:07.493095
-7,-199,7822,212,-585,291,1832,10,10:50:07.534099
-3,-211,7805,207,-585,296,1842,10,10:50:07.573971
7,-202,7832,213,-582,290,1852,10,10:50:07.612868
-6,-208,7809,209,-583,292,1862,10,10:50:07.652759
-16,-211,7809,204,-583,298,1872,10,10:50:07.693989
-4,-209,7812,206,-585,295,1882,10,10:50:07.733582
-4,-204,7820,202,-583,296,1892,10,10:50:07.773743
-3,-210,7800,209,-578,294,1902,10,10:50:07.813104
7,-197,7819,209,-585,288,1912,10,10:50:07.853220
4,-193,7810,212,-580,293,1922,10,10:50:07.893232
7,-191,7821,209,-588,295,1932,10,10:50:07.942177
-2,-202,7804,200,-584,292,1942,10,10:50:07.973079
0,-193,7818,203,-584,293,1952,10,10:50:08.013277
3,-195,7828,208,-587,292,1962,10,10:50:08.054013
-6,-205,7807,207,-579,294,1972,10,10:50:08.092912
-11,-207,7821,208,-582,295,1982,10,10:50:08.132966
-1,-219,7821,204,-587,299,1992,10,10:50:08.173048
7,-202,7813,199,-580,296,2002,10,10:50:08.213288
-4,-215,7811,205,-587,296,2012,10,10:50:08.253450
2,-205,7811,210,-586,297,2022,10,10:50:08.293312
18,-193,7824,205,-583,291,2032,10,10:50:08.332952
9,-204,7808,209,-578,294,2042,10,10:50:08.373258
5,-213,7816,204,-585,296,2052,10,10:50:08.413315
-7,-205,7830,204,-584,290,2062,10,10:50:08.452806
0,-206,7812,208,-580,292,2072,10,10:50:08.494323
-6,-197,7812,207,-585,293,2082,10,10:50:08.532407
-7,-194,7812,203,-582,295,2092,10,10:50:08.573775
-3,-208,7819,207,-585,293,2102,10,10:50:08.613693
-4,-200,7818,206,-581,295,2112,10,10:50:08.652868
13,-196,7802,211,-577,293,2122,10,10:50:08.693632
0,-196,7820,204,-579,293,2132,10,10:50:08.733025
-1,-210,7820,208,-578,290,2142,10,10:50:08.773064
-7,-206,7816,211,-577,289,2152,10,10:50:08.813153
0,-195,7816,211,-583,294,2162,10,10:50:08.853275
-3,-214,7833,212,-580,294,2172,10,10:50:08.893358
7,-203,7817,205,-582,295,2182,10,10:50:08.933837
-3,-201,7817,204,-588,291,2192,10,10:50:08.973084
7,-200,7816,206,-585,296,2202,10,10:50:09.013573
5,-212,7817,209,-580,295,2212,10,10:50:09.053299
4,-206,7813,208,-586,292,2222,10,10:50:09.098196
-1,-204,7824,204,-584,294,2232,10,10:50:09.145070
3,-213,7823,211,-580,295,2242,10,10:50:09.175989
-7,-203,7809,204,-587,295,2252,10,10:50:09.215881
-8,-213,7806,203,-587,291,2262,10,10:50:09.253820
-1,-229,7810,205,-583,297,2272,10,10:50:09.293000
6,-208,7824,198,-584,290,2282,10,10:50:09.334057
5,-203,7810,207,-582,295,2292,10,10:50:09.373041
-1,-196,7822,204,-581,298,2302,10,10:50:09.415928
9,-195,7819,200,-585,294,2312,10,10:50:09.453824
-5,-204,7816,205,-584,291,2322,10,10:50:09.493550
-2,-189,7809,207,-586,297,2332,10,10:50:09.534441
-4,-195,7818,208,-583,294,2342,10,10:50:09.573337
12,-197,7822,200,-582,293,2352,10,10:50:09.613063
10,-203,7810,202,-584,292,2362,10,10:50:09.652984
8,-207,7829,207,-585,295,2372,10,10:50:09.693023
10,-205,7827,205,-588,295,2382,10,10:50:09.734011
2,-202,7819,207,-583,298,2392,10,10:50:09.772829
5,-195,7803,209,-583,292,2402,10,10:50:09.813074
-2,-209,7824,209,-582,300,2412,10,10:50:09.853521
-7,-199,7815,207,-580,292,2422,10,10:50:09.894171
7,-205,7811,207,-586,290,2432,10,10:50:09.933426
13,-205,7804,206,-587,293,2442,10,10:50:09.974295
17,-197,7817,209,-581,295,2452,10,10:50:10.013276
8,-210,7822,210,-584,291,2462,10,10:50:10.053518
-7,-196,7815,203,-584,294,2472,10,10:50:10.093327
-1,-202,7812,201,-587,296,2482,10,10:50:10.134132
7,-193,7828,208,-582,293,2492,10,10:50:10.173290
1,-190,7814,210,-584,295,2502,10,10:50:10.212720
-4,-204,7801,205,-583,293,2512,10,10:50:10.253073
-1,-190,7820,205,-583,295,2522,10,10:50:10.293272
3,-200,7800,210,-587,293,2532,10,10:50:10.333236
-6,-213,7818,206,-585,295,2542,10,10:50:10.373064
-5,-214,7807,209,-579,294,2552,10,10:50:10.413272
-5,-213,7821,211,-584,292,2562,10,10:50:10.453082
-3,-208,7819,209,-583,294,2572,10,10:50:10.493367
1,-202,7809,211,-583,289,2582,10,10:50:10.534450
14,-210,7811,209,-581,294,2592,10,10:50:10.573308
16,-207,7816,209,-585,295,2602,10,10:50:10.613242
-9,-194,7818,206,-582,294,2612,10,10:50:10.653126
11,-209,7815,206,-586,292,2622,10,10:50:10.693214
2,-208,7821,203,-587,291,2632,10,10:50:10.733452
4,-205,7819,205,-584,293,2642,10,10:50:10.773711
-10,-214,7808,203,-586,292,2652,10,10:50:10.813757
1,-212,7802,213,-585,298,2662,10,10:50:10.853283
6,-223,7822,210,-580,291,2672,10,10:50:10.903013
8,-195,7813,205,-584,292,2682,10,10:50:10.933351
-4,-204,7810,208,-583,294,2692,10,10:50:10.973061
4,-204,7817,213,-581,292,2702,10,10:50:11.012768
6,-206,7829,206,-584,297,2712,10,10:50:11.053077
4,-197,7819,205,-582,294,2722,10,10:50:11.092930
-1,-210,7823,207,-582,291,2732,10,10:50:11.133683
7,-196,7818,207,-581,294,2742,10,10:50:11.173323
3,-204,7810,208,-583,292,2752,10,10:50:11.213055
5,-199,7806,207,-581,293,2762,10,10:50:11.253491
9,-198,7821,211,-586,293,2772,10,10:50:11.293166
-2,-188,7834,210,-580,292,2782,10,10:50:11.334284
1,-198,7832,212,-581,292,2792,10,10:50:11.372904
-14,-197,7821,205,-582,290,2802,10,10:50:11.413291
12,-209,7836,211,-587,298,2812,10,10:50:11.453119
-3,-196,7809,213,-584,294,2822,10,10:50:11.493223
3,-205,7818,205,-580,291,2832,10,10:50:11.533638
7,-211,7808,205,-587,298,2842,10,10:50:11.573260
3,-219,7839,201,-584,291,2852,10,10:50:11.613664
-3,-193,7816,209,-586,294,2862,10,10:50:11.653427
-8,-204,7827,212,-587,295,2872,10,10:50:11.693622
8,-206,7817,209,-584,294,2882,10,10:50:11.732785
-4,-202,7824,210,-584,289,2892,10,10:50:11.773166
9,-200,7804,204,-585,288,2902,10,10:50:11.814161
5,-215,7810,209,-585,291,2912,10,10:50:11.853815
0,-202,7814,206,-590,292,2922,10,10:50:11.902576
4,-201,7823,210,-585,296,2932,10,10:50:11.933385
2,-202,7812,207,-582,295,2942,10,10:50:11.973079
7,-214,7829,201,-587,293,2952,10,10:50:12.013164
-2,-212,7815,204,-587,292,2962,10,10:50:12.053313
-4,-188,7821,208,-584,292,2972,10,10:50:12.093738
-6,-194,7823,207,-583,295,2982,10,10:50:12.132784
5,-215,7815,207,-587,294,2992,10,10:50:12.173076
20,-199,7814,208,-583,295,3002,10,10:50:12.213315
3,-206,7800,207,-579,296,3012,10,10:50:12.252892
-5,-210,7815,206,-583,295,3022,10,10:50:12.293351
