Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
-49,-14,7643,-7603,-23060,-1660,512,0,10:50:02.202092
-52,-30,7646,-160,-496,-32,522,10,10:50:02.241034
-54,-24,7645,-160,-502,-40,532,10,10:50:02.280795
-46,-35,7632,-167,-498,-35,542,10,10:50:02.321148
-35,-17,7649,-162,-502,-34,552,10,10:50:02.361550
-42,-19,7654,-165,-492,-38,562,10,10:50:02.401369
-45,-18,7649,-166,-497,-38,572,10,10:50:02.440573
-38,-22,7639,-164,-497,-33,582,10,10:50:02.481460
-39,-15,7650,-162,-495,-39,592,10,10:50:02.521250
-32,-30,7649,-159,-495,-32,602,10,10:50:02.560612
-39,-26,7651,-164,-494,-41,612,10,10:50:02.600984
-43,-19,7645,-166,-495,-36,622,10,10:50:02.640927
-34,-26,7648,-162,-497,-35,632,10,10:50:02.681337
-53,-34,7662,-164,-496,-36,642,10,10:50:02.720908
-53,-33,7641,-162,-497,-36,652,10,10:50:02.760638
-41,-25,7641,-159,-498,-40,662,10,10:50:02.802060
-48,-33,7652,-164,-497,-40,672,10,10:50:02.841051
-44,-35,7638,-162,-502,-34,682,10,10:50:02.880436
-50,-27,7637,-165,-501,-33,692,10,10:50:02.920378
-41,-24,7648,-161,-500,-36,702,10,10:50:02.960344
-55,-22,7641,-164,-500,-37,712,10,10:50:03.001596
-40,-29,7651,-161,-501,-37,722,10,10:50:03.040847
-45,-16,7652,-165,-495,-35,732,10,10:50:03.081118
-37,-23,7661,-165,-495,-38,742,10,10:50:03.121267
-51,-23,7644,-167,-502,-36,752,10,10:50:03.160384
-36,-28,7650,-166,-496,-41,762,10,10:50:03.202082
-53,-38,7656,-168,-500,-39,772,10,10:50:03.240456
-42,-21,7655,-164,-496,-31,782,10,10:50:03.280673
-51,-26,7640,-168,-500,-40,792,10,10:50:03.322991
-49,-21,7638,-155,-494,-35,802,10,10:50:03.360868
-61,-30,7648,-162,-493,-34,812,10,10:50:03.401009
-54,-26,7650,-163,-495,-39,822,10,10:50:03.440633
-61,-22,7643,-165,-501,-37,832,10,10:50:03.481172
-51,-30,7643,-169,-498,-40,842,10,10:50:03.520233
-47,-38,7643,-166,-501,-37,852,10,10:50:03.561098
-51,-36,7645,-161,-497,-39,862,10,10:50:03.600096
-55,-32,7646,-162,-498,-36,872,10,10:50:03.640556
-43,-35,7649,-163,-499,-37,882,10,10:50:03.681664
-40,-30,7648,-163,-493,-33,892,10,10:50:03.721207
-42,-26,7650,-159,-498,-38,902,10,10:50:03.760633
-47,-18,7648,-163,-500,-35,912,10,10:50:03.800547
-40,-8,7647,-167,-501,-35,922,10,10:50:03.840132
-49,-31,7639,-166,-503,-41,932,10,10:50:03.880288
-46,-22,7636,-163,-498,-43,942,10,10:50:03.920858
-51,-27,7643,-172,-501,-35,952,10,10:50:03.960860
-43,-18,7652,-168,-503,-30,962,10,10:50:04.000484
-51,-30,7651,-165,-498,-39,972,10,10:50:04.040220
-53,-24,7636,-164,-498,-37,982,10,10:50:04.080388
-47,-33,7657,-165,-496,-36,992,10,10:50:04.120283
-41,-29,7648,-166,-501,-38,1002,10,10:50:04.160345
-46,-29,7637,-166,-501,-37,1012,10,10:50:04.200813
-45,-37,7648,-162,-498,-37,1022,10,10:50:04.240646
-41,-28,7646,-162,-499,-40,1032,10,10:50:04.279622
-44,-20,7634,-170,-503,-34,1042,10,10:50:04.320871
-45,-28,7643,-163,-499,-43,1052,10,10:50:04.359872
-41,-23,7642,-162,-498,-36,1062,10,10:50:04.400135
-43,-25,7648,-168,-502,-39,1072,10,10:50:04.439898
-45,-28,7643,-162,-496,-40,1082,10,10:50:04.480710
-28,-23,7644,-166,-502,-36,1092,10,10:50:04.519810
-54,-23,7647,-164,-498,-39,1102,10,10:50:04.559668
-63,-28,7645,-165,-499,-35,1112,10,10:50:04.601165
-44,-11,7634,-160,-495,-36,1122,10,10:50:04.640311
-45,-30,7655,-165,-504,-37,1132,10,10:50:04.680751
-39,-27,7644,-170,-504,-35,1142,10,10:50:04.720824
-49,-31,7634,-164,-501,-38,1152,10,10:50:04.759795
-44,-25,7647,-163,-497,-32,1162,10,10:50:04.800579
-53,-25,7644,-162,-493,-38,1172,10,10:50:04.840409
-36,-32,7650,-161,-497,-37,1182,10,10:50:04.880876
-34,-22,7642,-168,-501,-36,1192,10,10:50:04.919516
-34,-28,7657,-166,-498,-38,1202,10,10:50:04.959739
-44,-23,7655,-160,-494,-41,1212,10,10:50:05.000852
-55,-32,7656,-165,-501,-34,1222,10,10:50:05.040858
-48,-15,7656,-161,-498,-31,1232,10,10:50:05.081444
-38,-18,7658,-163,-500,-34,1242,10,10:50:05.120090
-42,-26,7639,-161,-496,-42,1252,10,10:50:05.160201
-45,-26,7642,-163,-497,-34,1262,10,10:50:05.200848
-44,-26,7639,-161,-499,-36,1272,10,10:50:05.240891
-31,-33,7652,-162,-500,-35,1282,10,10:50:05.280503
-42,-15,7661,-160,-502,-36,1292,10,10:50:05.320189
-42,-24,7663,-165,-502,-37,1302,10,10:50:05.360861
-43,-22,7658,-166,-498,-37,1312,10,10:50:05.400484
-36,-17,7652,-166,-498,-38,1322,10,10:50:05.440377
-46,-17,7643,-169,-502,-40,1332,10,10:50:05.481070
-42,-20,7645,-166,-500,-37,1342,10,10:50:05.522176
-31,-23,7664,-161,-504,-39,1352,10,10:50:05.559959
-41,-15,7654,-170,-501,-37,1362,10,10:50:05.600595
-40,-32,7646,-170,-502,-36,1372,10,10:50:05.640627
-45,-29,7651,-161,-496,-36,1382,10,10:50:05.680616
-37,-32,7641,-165,-502,-32,1392,10,10:50:05.720077
-54,-22,7646,-165,-500,-32,1402,10,10:50:05.759894
-38,-34,7648,-165,-497,-37,1412,10,10:50:05.799934
-30,-12,7656,-167,-500,-40,1422,10,10:50:05.839689
-34,-24,7655,-163,-498,-36,1432,10,10:50:05.880545
-40,-24,7641,-163,-503,-36,1442,10,10:50:05.919820
-48,-23,7649,-169,-500,-40,1452,10,10:50:05.960391
-51,-24,7646,-166,-496,-36,1462,10,10:50:06.001942
-49,-36,7652,-168,-504,-39,1472,10,10:50:06.040776
-49,-10,7647,-167,-500,-39,1482,10,10:50:06.080892
-35,-7,7658,-164,-499,-39,1492,10,10:50:06.120823
-35,-26,7650,-165,-497,-34,1502,10,10:50:06.160050
-32,-13,7634,-157,-493,-37,1512,10,10:50:06.200569
-43,-16,7640,-164,-500,-36,1522,10,10:50:06.240391
-43,-23,7658,-172,-505,-37,1532,10,10:50:06.279993
-28,-29,7651,-160,-499,-35,1542,10,10:50:06.319827
-45,-27,7649,-165,-501,-40,1552,10,10:50:06.361281
-34,-15,7654,-162,-493,-36,1562,10,10:50:06.400343
-36,-28,7633,-165,-498,-32,1572,10,10:50:06.440088
-35,-29,7644,-170,-504,-38,1582,10,10:50:06.480355
-53,-32,7657,-169,-500,-40,1592,10,10:50:06.520820
-37,-22,7655,-161,-498,-34,1602,10,10:50:06.560917
-50,-22,7653,-162,-497,-34,1612,10,10:50:06.600456
-44,-26,7661,-166,-501,-38,1622,10,10:50:06.640743
-49,-25,7642,-171,-501,-38,1632,10,10:50:06.680512
-45,-17,7645,-162,-497,-35,1642,10,10:50:06.720072
-46,-27,7634,-160,-502,-36,1652,10,10:50:06.759875
-38,-29,7654,-165,-500,-37,1662,10,10:50:06.799920
-41,-29,7652,-164,-497,-35,1672,10,10:50:06.840806
-46,-29,7658,-167,-498,-36,1682,10,10:50:06.879594
-46,-14,7653,-164,-500,-37,1692,10,10:50:06.920686
