PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
10197,9555,251891,243014,150,10,11:28:19.662040
10199,9560,251889,243015,160,0,11:28:19.703053
10174,9555,251886,243006,170,0,11:28:19.742259
10197,9553,251923,243002,180,0,11:28:19.781302
10230,9557,251883,243002,190,0,11:28:19.821793
10139,9554,251881,243004,200,0,11:28:19.862142
10239,9557,251878,242998,210,0,11:28:19.902034
10191,9555,251916,242991,220,0,11:28:19.941226
10195,9553,251807,242989,230,0,11:28:19.982050
10198,9553,251880,242987,240,0,11:28:20.021196
10197,9553,251867,242993,250,0,11:28:20.062170
10200,9558,251864,242993,260,0,11:28:20.102220
10196,9553,251856,242990,270,0,11:28:20.142260
10195,9552,251860,242982,280,0,11:28:20.182089
10201,9554,251860,242985,290,0,11:28:20.222238
10173,9554,251850,242978,300,0,11:28:20.262194
10196,9556,251851,242981,310,0,11:28:20.302208
10179,9556,251862,242979,320,0,11:28:20.342271
10180,9548,251835,242977,330,0,11:28:20.382200
10202,9555,251844,242970,340,0,11:28:20.422233
10196,9555,251837,242974,350,0,11:28:20.461691
10195,9553,251836,242974,360,0,11:28:20.531388
10194,9552,251842,242974,370,0,11:28:20.559313
10190,9544,251828,242960,380,0,11:28:20.587238
10197,9555,251838,242970,390,0,11:28:20.622146
10196,9554,251831,242961,400,0,11:28:20.661183
10195,9553,251833,242956,410,0,11:28:20.701393
10202,9553,251829,242958,420,0,11:28:20.740950
10197,9556,251828,242954,430,0,11:28:20.782057
10213,9550,251834,242956,440,0,11:28:20.821851
10188,9553,251842,242955,450,0,11:28:20.861707
10192,9546,251822,242950,460,0,11:28:20.902183
10237,9557,251857,242955,470,0,11:28:20.942102
10177,9551,251823,242952,480,0,11:28:20.982403
10195,9552,251787,242953,490,0,11:28:21.022237
10196,9551,251818,242952,500,0,11:28:21.061983
11696,10959,251797,242946,510,0,11:28:21.102048
11912,11162,251816,242945,520,0,11:28:21.141388
11911,11163,251817,242946,530,0,11:28:21.182045
11911,11160,251814,242943,540,0,11:28:21.222212
11909,11155,251805,242937,550,0,11:28:21.261341
11910,11157,251810,242944,560,0,11:28:21.301381
11905,11158,251804,242936,570,0,11:28:21.341816
11924,11163,251809,242934,580,0,11:28:21.381832
11925,11159,251804,242934,590,0,11:28:21.421496
11884,11155,251805,242941,600,0,11:28:21.462196
11921,11158,251809,242934,610,0,11:28:21.501609
11888,11162,251840,242939,620,0,11:28:21.541575
11910,11160,251774,242933,630,0,11:28:21.581993
11907,11154,251812,242935,640,0,11:28:21.621853
11911,11156,251792,242939,650,0,11:28:21.662420
11909,11157,251807,242943,660,0,11:28:21.701191
11906,11153,251802,242933,670,0,11:28:21.742096
11907,11152,251807,242938,680,0,11:28:21.782405
11910,11160,251807,242937,690,0,11:28:21.821228
11906,11157,251799,242927,700,0,11:28:21.862041
11906,11155,251797,242935,710,0,11:28:21.902193
11911,11157,251799,242933,720,0,11:28:21.941428
11920,11156,251793,242926,730,0,11:28:21.981622
11870,11158,251789,242926,740,0,11:28:22.021300
11970,11159,251797,242925,750,0,11:28:22.061293
11889,11153,251807,242920,760,0,11:28:22.101157
