PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
10073,7972,294385,243920,130,10,11:28:19.401724
10078,7976,294382,243924,140,0,11:28:19.441217
10085,7975,294370,243912,150,0,11:28:19.471173
10074,7974,294367,243909,160,0,11:28:19.511320
10074,7976,294370,243915,170,0,11:28:19.561319
10045,7973,294364,243916,180,0,11:28:19.590058
10037,7969,294366,243917,190,0,11:28:19.630874
10067,7972,294370,243914,200,0,11:28:19.670655
10079,7968,294364,243904,210,0,11:28:19.711296
10066,7970,294360,243898,220,0,11:28:19.751111
10044,7972,294360,243898,230,0,11:28:19.791080
10072,7970,294363,243904,240,0,11:28:19.830773
10067,7970,294356,243905,250,0,11:28:19.871232
10036,7971,294353,243895,260,0,11:28:19.911226
10050,7970,294348,243885,270,0,11:28:19.950205
10054,7975,294343,243893,280,0,11:28:19.991336
9993,7974,294353,243887,290,0,11:28:20.031301
10038,7970,294343,243885,300,0,11:28:20.071076
10048,7971,294335,243888,310,0,11:28:20.111324
10040,7969,294333,243884,320,0,11:28:20.151255
10062,7972,294337,243886,330,0,11:28:20.190966
10067,7974,294332,243882,340,0,11:28:20.231288
10078,7977,294326,243884,350,0,11:28:20.271247
10135,7978,294326,243874,360,0,11:28:20.310938
10147,7972,294333,243872,370,0,11:28:20.351264
10137,7974,294331,243880,380,0,11:28:20.391214
10120,7976,294331,243876,390,0,11:28:20.430710
10109,7973,294330,243880,400,0,11:28:20.471599
10087,7975,294322,243877,410,0,11:28:20.531388
10079,7972,294316,243871,420,0,11:28:20.561308
10077,7974,294321,243870,430,0,11:28:20.591228
10074,7972,294311,243862,440,0,11:28:20.632118
10027,7972,294317,243870,450,0,11:28:20.670768
10025,7974,294322,243868,460,0,11:28:20.710183
10046,7975,294319,243869,470,0,11:28:20.750812
10042,7975,294339,243876,480,0,11:28:20.790463
10050,7973,294333,243866,490,0,11:28:20.830830
10060,7974,294328,243870,500,0,11:28:20.870138
10059,7971,294333,243865,510,0,11:28:20.911258
11550,9147,294316,243860,520,0,11:28:20.950153
11554,9148,294311,243860,530,0,11:28:20.990399
11554,9145,294310,243862,540,0,11:28:21.031143
11556,9147,294308,243859,550,0,11:28:21.071286
11552,9144,294305,243857,560,0,11:28:21.111045
11553,9142,294294,243850,570,0,11:28:21.151412
11553,9142,294274,243842,580,0,11:28:21.191330
11554,9143,294259,243850,590,0,11:28:21.230983
11556,9148,294294,243852,600,0,11:28:21.271159
11554,9146,294287,243842,610,0,11:28:21.310289
11556,9151,294284,243847,620,0,11:28:21.350685
11553,9148,294298,243849,630,0,11:28:21.390809
11557,9150,294295,243849,640,0,11:28:21.430505
11555,9147,294290,243844,650,0,11:28:21.470173
11556,9148,294297,243854,660,0,11:28:21.510616
11555,9145,294275,243849,670,0,11:28:21.550551
11555,9146,294265,243846,680,0,11:28:21.590251
11555,9145,294236,243841,690,0,11:28:21.631067
11559,9151,294246,243838,700,0,11:28:21.670298
11556,9148,294253,243837,710,0,11:28:21.710166
11557,9148,294265,243842,720,0,11:28:21.750721
11556,9146,294284,243837,730,0,11:28:21.790309
11555,9145,294276,243836,740,0,11:28:21.831931
11554,9144,294285,243845,750,0,11:28:21.870895
11555,9146,294314,243837,760,0,11:28:21.910974
11551,9138,294358,243844,770,0,11:28:21.950267
11554,9143,294357,243843,780,0,11:28:21.990776
11556,9146,294338,243837,790,0,11:28:22.031309
11556,9147,294334,243843,800,0,11:28:22.070269
11555,9147,294298,243841,810,0,11:28:22.110364
11554,9147,294284,243836,820,0,11:28:22.150912
11553,9148,294274,243837,830,0,11:28:22.190349
11556,9148,294259,243834,840,0,11:28:22.232258
11556,9149,294215,243841,850,0,11:28:22.270349
11556,9149,294223,243830,860,0,11:28:22.310282
11555,9149,294236,243822,870,0,11:28:22.352233
11556,9148,294246,243832,880,0,11:28:22.391016
11557,9150,294259,243828,890,0,11:28:22.431324
11554,9143,294268,243832,900,0,11:28:22.470350
11554,9145,294270,243834,910,0,11:28:22.510880
11561,9151,294267,243830,920,0,11:28:22.551042
11555,9145,294260,243822,930,0,11:28:22.590540
11557,9148,294258,243823,940,0,11:28:22.631246
11555,9145,294266,243823,950,0,11:28:22.671387
11556,9147,294261,243818,960,0,11:28:22.710359
11555,9144,294259,243820,970,0,11:28:22.750449
11554,9143,294258,243818,980,0,11:28:22.790272
11556,9146,294256,243810,990,0,11:28:22.831198
11554,9144,294253,243815,1000,0,11:28:22.870370
11553,9144,294259,243816,1010,0,11:28:22.910380
11552,9144,294259,243816,1020,0,11:28:22.950975
13074,10346,294257,243826,1030,0,11:28:22.990273
13076,10352,294262,243824,1040,0,11:28:23.032404
13077,10351,294259,243816,1050,0,11:28:23.070337
13077,10351,294251,243813,1060,0,11:28:23.110138
13076,10350,294259,243821,1070,0,11:28:23.151006
13079,10351,294262,243821,1080,0,11:28:23.190353
13078,10348,294258,243818,1090,0,11:28:23.231589
13079,10352,294259,243813,1100,0,11:28:23.270265
13079,10351,294255,243806,1110,0,11:28:23.310244
13076,10349,294259,243819,1120,0,11:28:23.351048
13077,10353,294252,243814,1130,0,11:28:23.390316
13076,10348,294250,243812,1140,0,11:28:23.432121
13076,10346,294250,243813,1150,0,11:28:23.470243
13075,10349,294251,243811,1160,0,11:28:23.510246
13080,10352,294256,243811,1170,0,11:28:23.550514
13076,10350,294251,243809,1180,0,11:28:23.590061
13075,10349,294240,243806,1190,0,11:28:23.630885
13075,10349,294247,243813,1200,0,11:28:23.670438
13076,10351,294243,243807,1210,0,11:28:23.710360
13075,10348,294236,243806,1220,0,11:28:23.751098
13073,10344,294236,243800,1230,0,11:28:23.790160
13077,10350,294243,243806,1240,0,11:28:23.830790
13077,10351,294233,243796,1250,0,11:28:23.870379
13078,10351,294237,243807,1260,0,11:28:23.911012
13076,10349,294233,243791,1270,0,11:28:23.951019
13078,10350,294234,243799,1280,0,11:28:23.990434
13076,10349,294232,243793,1290,0,11:28:24.031147
13079,10351,294235,243795,1300,0,11:28:24.070357
13076,10349,294227,243790,1310,0,11:28:24.110083
13079,10352,294233,243793,1320,0,11:28:24.150995
13076,10348,294228,243787,1330,0,11:28:24.190371
13078,10353,294237,243793,1340,0,11:28:24.231085
13076,10348,294241,243803,1350,0,11:28:24.270687
13077,10352,294236,243796,1360,0,11:28:24.310111
13075,10349,294233,243798,1370,0,11:28:24.351015
13078,10353,294232,243798,1380,0,11:28:24.390378
13077,10349,294239,243798,1390,0,11:28:24.430993
13075,10349,294235,243799,1400,0,11:28:24.470454
13076,10350,294237,243801,1410,0,11:28:24.510292
13073,10345,294236,243797,1420,0,11:28:24.550981
13073,10346,294236,243801,1430,0,11:28:24.590339
13076,10350,294226,243795,1440,0,11:28:24.631880
13075,10350,294230,243798,1450,0,11:28:24.670998
13079,10354,294232,243796,1460,0,11:28:24.711222
13076,10352,294234,243798,1470,0,11:28:24.750974
13077,10351,294226,243794,1480,0,11:28:24.790289
13077,10352,294223,243790,1490,0,11:28:24.831363
13076,10352,294224,243790,1500,0,11:28:24.871135
13078,10356,294229,243790,1510,0,11:28:24.911330
13077,10352,294225,243791,1520,0,11:28:24.950360
13077,10349,294229,243791,1530,0,11:28:24.990367
14580,11542,294227,243795,1540,0,11:28:25.031269
14583,11543,294217,243788,1550,0,11:28:25.070350
14581,11544,294219,243787,1560,0,11:28:25.110571
14579,11540,294222,243791,1570,0,11:28:25.150797
14580,11542,294225,243789,1580,0,11:28:25.190980
14578,11539,294217,243783,1590,0,11:28:25.231562
14581,11540,294218,243782,1600,0,11:28:25.270388
14576,11534,294221,243785,1610,0,11:28:25.310362
14581,11538,294232,243796,1620,0,11:28:25.350965
14582,11541,294221,243781,1630,0,11:28:25.391138
14578,11537,294222,243791,1640,0,11:28:25.431269
14580,11539,294214,243782,1650,0,11:28:25.470289
14579,11539,294211,243780,1660,0,11:28:25.511088
14582,11540,294213,243778,1670,0,11:28:25.550248
14580,11540,294215,243781,1680,0,11:28:25.590224
14581,11542,294214,243777,1690,0,11:28:25.632165
14581,11541,294204,243772,1700,0,11:28:25.671272
14584,11543,294213,243767,1710,0,11:28:25.710956
14582,11542,294208,243779,1720,0,11:28:25.750763
14580,11541,294201,243770,1730,0,11:28:25.790275
14581,11538,294202,243764,1740,0,11:28:25.831129
14580,11542,294208,243765,1750,0,11:28:25.870606
14581,11538,294203,243765,1760,0,11:28:25.910814
14581,11540,294205,243770,1770,0,11:28:25.950665
14579,11538,294202,243774,1780,0,11:28:25.990275
14578,11536,294198,243773,1790,0,11:28:26.030730
14585,11543,294195,243774,1800,0,11:28:26.070950
14591,11538,294189,243766,1810,0,11:28:26.110033
14602,11540,294199,243772,1820,0,11:28:26.150539
14596,11542,294195,243763,1830,0,11:28:26.190798
14589,11541,294198,243766,1840,0,11:28:26.231299
14587,11542,294200,243762,1850,0,11:28:26.270302
14582,11543,294194,243769,1860,0,11:28:26.310436
14580,11539,294195,243763,1870,0,11:28:26.350597
14580,11544,294199,243767,1880,0,11:28:26.390168
14566,11546,294197,243768,1890,0,11:28:26.431511
14535,11539,294198,243768,1900,0,11:28:26.471273
14599,11542,294200,243769,1910,0,11:28:26.510284
14581,11541,294194,243765,1920,0,11:28:26.550744
14572,11540,294199,243762,1930,0,11:28:26.590907
14592,11539,294199,243768,1940,0,11:28:26.631163
14584,11544,294192,243759,1950,0,11:28:26.670316
